key,2024,2023,2022,2021,2020
EarningsPerShareDiluted,4.01,3.29,4.25,3.94,2.01
EarningsPerShareBasic,4.02,3.3,4.28,3.97,2.02
WeightedAverageNumberOfDilutedSharesOutstanding,953590000,951791000,811608000,764762000,754414000
WeightedAverageNumberOfSharesOutstandingBasic,926172000,924351000,785675000,739363000,728323000
NetIncomeLossAvailableToCommonStockholdersBasic,3725754000,3053373000,3358796000,2933571000,1473122000
PreferredStockRedemptionPremium,,,0,0,2347000
PreferredStockDividendsIncomeStatementImpact,5881000,5841000,6060000,6152000,6345000
NetIncomeLoss,3731635000,3059214000,3364856000,2939723000,1481814000
NetIncomeLossAttributableToNoncontrollingInterest,216300000,193931000,190542000,208867000,134816000
ProfitLoss,3947935000,3253145000,3555398000,3148590000,1616630000
IncomeTaxExpenseBenefit,166943000,211038000,135412000,174258000,130458000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4114878000,3464183000,3690810000,3322848000,1747088000
NonoperatingIncomeExpense,-301042000,-243609000,223272000,115852000,-371856000
GainsLossesOnExtinguishmentOfDebt,536000,3275000,-20184000,-187453000,-188290000
GainLossOnForeignCurrencyAndDerivativeAndOtherIncomeExpenseNet,,,241621000,165278000,-166429000
InterestExpense,,641332000,309037000,266228000,314507000
IncomeLossFromEquityMethodInvestments,353623000,307227000,310872000,404255000,297370000
OperatingIncomeLoss,4415920000,3707792000,3467538000,3206996000,2118944000
GainsOnOtherDispositionsOfInvestmentsInRealEstateNet,904136000,161039000,589391000,772570000,252195000
GainsOnDispositionsOfDevelopmentPropertiesAndLandNet,413743000,462270000,597745000,817017000,464942000
OperatingIncomeLossBeforeGainsLossOnRealEstateTransactionsNet,3098041000,3084483000,2280402000,1617409000,1401807000
OperatingExpensesBeforeGainsOnRealEstateTransactionsNet,5103569000,4938986000,3693290000,3142031000,3036928000
OtherCostAndExpenseOperating,47044000,53354000,40336000,22435000,30010000
DepreciationAndAmortization,2580519000,2484891000,1812777000,1577942000,1561969000
GeneralAndAdministrativeExpense,418765000,390406000,331083000,293167000,274845000
ServiceManagementCosts1,291856000,385542000,303356000,207171000,218041000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,1765385000,1624793000,1205738000,1041316000,952063000
Revenues,8201610000,8023469000,5973692000,4759440000,4438735000
OtherRealEstateRevenue1,14998000,4695000,20936000,20696000,10617000
ManagementFeesRevenue1,671907000,1200232000,1039585000,590750000,636987000
RentalRevenue,7514705000,6818542000,4913171000,4147994000,3791131000
GainLossOnForeignCurrencyDerivativeAndOtherGainsAndOtherIncomeExpenseNet,,87221000,241621000,165278000,
InterestExpenseNonoperating,863932000,641332000,309037000,,
GainLossOnForeignCurrencyDerivativeAndOtherGainsLossesAndOtherIncomeExpenseNet,208731000,87221000,241621000,,
