key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
RealEstateInvestmentPropertyAtCost,5018514000,5088070000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,11430899000,10931485000,,
RealEstateInvestmentPropertyNet,77996606000,77735090000,,
RealEstateInvestmentsUnconsolidatedRealEstateAndOtherJointVentures,9691101000,9543970000,,
AssetsHeldForSaleOrContribution,382793000,461657000,,
RealEstateInvestments,88070500000,87740717000,,
CashAndCashEquivalentsAtCarryingValue,500589000,530388000,,
OtherAssets,669768000,625384000,,
Assets,11244251000,11161399000,,
LongTermDebt,288405000,379021000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,1752485000,1766018000,,
OtherLiabilities,4203040000,4430601000,,
Liabilities,484482000,489417000,,
PreferredStockValue,63948000,63948000,,
CommonStockValue,9258000,9244000,,
AdditionalPaidInCapital,54336001000,54249801000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-285395000,-514201000,,
RetainedEarningsAccumulatedDeficit,-933159000,-627068000,,
StockholdersEquity,53190653000,53181724000,,
MinorityInterest,4606465000,4641996000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-867469000,-1041499000,-1137626000,-1159694000
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,3310776000,3324275000,57465229000,57863093000
LiabilitiesAndStockholdersEquity,93310310000,93020840000,,
GeneralPartnersCapitalAccount,53126705000,53117776000,,
LimitedPartnersCapitalAccount,432386000,469561000,,
PartnersCapital,54486342000,54499445000,,
