key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,229000000,,241000000,
StraightLineRentsAndAmortizationOfAboveAndBelowMarketLeases,180361000,,158960000,
ShareBasedCompensation,53161000,,67237000,
DepreciationAndAmortization,652058000,,637505000,
IncomeLossFromEquityMethodInvestments,67899000,,72472000,
EquityMethodInvestmentDividendsOrDistributions,138947000,,126653000,
IncreaseDecreaseInOperatingReceivablesFromUnconsolidatedEntities,-16638000,,-44841000,
AmortizationOfFinancingCostsAndDiscounts,20835000,,18044000,
GainsOnDispositionsOfDevelopmentPropertiesAndLandNet,27451000,,40308000,
GainsOnOtherDispositionsOfInvestmentsInRealEstateNet,36799000,,17534000,
ForeignCurrencyTransactionGainLossUnrealized,-55465000,,35046000,
GainsLossesOnExtinguishmentOfDebt,0,,536000,
DeferredIncomeTaxExpenseBenefit,6682000,,334000,
IncreaseDecreaseInOtherOperatingAssets,-22982000,,11782000,
IncreaseDecreaseInOperatingLiabilities,-133025000,,-133323000,
NetCashProvidedByUsedInOperatingActivities,1160753000,,1055460000,
PaymentsToDevelopRealEstateAssets,776184000,,719795000,
PaymentsToAcquireRealEstate,779664000,,126177000,
PaymentsForLeasingCostsCommissionsAndTenantImprovements,123123000,,104306000,
PaymentForPropertyImprovements,34367000,,30200000,
ProceedsFromRealEstateAndRealEstateJointVentures,157013000,,199538000,
PaymentsToInvestmentsInAndAdvancesToUnconsolidatedEntities,27352000,,314842000,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,28314000,,1360000,
ProceedsFromHedgeInvestingActivities,4852000,,10357000,
NetCashProvidedByUsedInInvestingActivities,-1550511000,,-1084065000,
PaymentsOfDividends,966314000,,917670000,
ProceedsFromMinorityShareholders,13234000,,1270000,
PaymentsToMinorityShareholdersExcludingParentCompanyDistributions,48651000,,44499000,
PaymentsForRepurchaseOfCommonStock,4003000,,246000,
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,4003000,,246000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,15416000,,21720000,
PaymentOfFinancingAndStockIssuanceCosts,2648000,,13073000,
NetProceedsFromPaymentsOnCreditFacilitiesAndCommercialPaper,299224000,,53964000,
RepurchaseOfAndRepaymentsOnDebtExcludingLineOfCredit,71205000,,913935000,
ProceedsFromIssuanceOfDebtExcludingLineOfCredit,520219000,,1858297000,
NetCashProvidedByUsedInFinancingActivities,-275560000,,2388000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,17844000,,-3582000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-647474000,,-29799000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,671117000,1318591000,500589000,530388000
