key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
RentalRevenue,1987265000,,1827658000,
ManagementFeesRevenue1,141139000,,128412000,
OtherRealEstateRevenue1,11261000,,551000,
Revenues,141139000,,128412000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,488317000,,454257000,
ServiceManagementCosts1,60777000,,78811000,
GeneralAndAdministrativeExpense,114701000,,111291000,
DepreciationAndAmortization,652058000,,637505000,
OtherCostAndExpenseOperating,9649000,,12244000,
OperatingExpensesBeforeGainsOnRealEstateTransactionsNet,1325502000,,1294108000,
OperatingIncomeLossBeforeGainsLossOnRealEstateTransactionsNet,814163000,,662513000,
GainsOnDispositionsOfDevelopmentPropertiesAndLandNet,27451000,,40308000,
GainsOnOtherDispositionsOfInvestmentsInRealEstateNet,36799000,,17534000,
OperatingIncomeLoss,878413000,,720355000,
IncomeLossFromEquityMethodInvestments,67899000,,72472000,
InterestExpenseNonoperating,231751000,,193320000,
GainLossOnForeignCurrencyDerivativeAndOtherGainsLossesAndOtherIncomeExpenseNet,-31658000,,63564000,
GainsLossesOnExtinguishmentOfDebt,0,,536000,
NonoperatingIncomeExpense,-195510000,,-56748000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,682903000,,663607000,
IncomeTaxExpenseBenefit,43383000,,32800000,
ProfitLoss,229000000,,241000000,
NetIncomeLossAttributableToNoncontrollingInterest,31576000,,30308000,
NetIncomeLoss,607944000,,600499000,
PreferredStockDividendsIncomeStatementImpact,1452000,,1452000,
NetIncomeLossAvailableToCommonStockholdersBasic,601914000,,593915000,
WeightedAverageNumberOfSharesOutstandingBasic,943662000,,940608000,
WeightedAverageNumberOfDilutedSharesOutstanding,956080000,,953912000,
EarningsPerShareBasic,0.64,,0.63,
EarningsPerShareDiluted,0.63,,0.63,
