key,2024,2023,2022,2021,2020
Land,7822290000,6815622000,5841195000,4143021000,
InvestmentBuildingAndBuildingImprovements,4611987000,3933379000,3370494000,2588836000,
TenantImprovements,188217000,167251000,147632000,127708000,
FixturesAndEquipmentGross,132000,132000,132000,132000,
DevelopmentInProcess,333690000,240010000,110934000,71375000,
RealEstateInvestmentPropertyAtCost,12956316000,11156394000,9470387000,6931072000,4947955000
RealEstateInvestmentPropertyAccumulatedDepreciation,977133000,782461000,614332000,473382000,
RealEstateInvestmentPropertyNet,11979183000,10373933000,8856055000,6457690000,
CashAndCashEquivalentsAtCarryingValue,55971000,33444000,36786000,43987000,176293000
RestrictedCash,,,0,11000,1230000
AccountsReceivableNet,15772000,17494000,15227000,11027000,
DeferredRentReceivablesNet,161693000,123325000,88144000,61511000,
DeferredCostsLeasingNet,67827000,59351000,45080000,32940000,
DeferredFinanceCostsNet,1999000,3426000,4829000,1961000,
FiniteLivedIntangibleAssetsNet,201467000,153670000,169986000,132158000,
OtherIndefiniteLivedIntangibleAssets,5156000,5156000,5156000,5156000,
InterestRateDerivativeAssetsAtFairValue,8942000,9896000,11422000,0,
OtherAssets,26964000,25225000,24973000,19066000,
DepositsAssets,0,2125000,1625000,8445000,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,0,7213000,
Assets,12648218000,10929829000,9259283000,6781165000,
LongTermDebt,3345962000,2225914000,1936381000,1399565000,
InterestRateDerivativeLiabilitiesAtFairValue,,,0,7482000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,149707000,128842000,97496000,65833000,
DividendsPayableCurrentAndNoncurrent,97823000,83733000,62033000,40143000,29747000
OffMarketLeaseUnfavorable,147473000,147561000,147384000,127017000,
SecurityDepositLiability,90698000,84872000,71935000,57370000,
AdvanceRent,90576000,115002000,20712000,15829000,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,0,231000,
Liabilities,3922239000,2785924000,2335941000,1713470000,
PreferredStockValue,72443000,72443000,72443000,72443000,
CommonStockValue,2253000,2123000,1891000,1605000,
AdditionalPaidInCapitalCommonStock,8601276000,7940781000,6646867000,4828292000,
AccumulatedDistributionsInExcessOfNetIncome,441881000,338835000,255743000,191120000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,6746000,7172000,8247000,-9874000,
StockholdersEquity,8324070000,7766917000,6556938000,4784579000,
MinorityInterest,401909000,376988000,366404000,283116000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8725979000,8143905000,6923342000,5067695000,242327000
LiabilitiesAndStockholdersEquity,12648218000,10929829000,9259283000,6781165000,
NotesReceivableNet,123244000,122784000,0,,
