key,2024,2023,2022,2021,2020
ProfitLoss,285926000,249591000,177157000,136246000,80895000
DepreciationAndAmortization,275247000,244510000,196794000,151269000,115269000
AmortizationOfAboveAndBelowMarketLeases,-27653000,-29882000,-31209000,-15443000,-10533000
OperatingLeaseImpairmentLoss,0,188000,0,992000,0
GainsLossesOnExtinguishmentOfDebt,0,0,-915000,-505000,-104000
GainsLossesOnSalesOfInvestmentRealEstate,18013000,19001000,8486000,33929000,13617000
AmortizationOfFinancingCosts,4775000,3856000,2689000,1919000,1505000
AmortizationOfDebtDiscountPremium,4829000,688000,250000,26000,-188000
ShareBasedCompensation,41602000,33638000,28426000,19506000,12871000
StraightLineRent,38433000,36587000,31220000,20903000,11406000
PaymentsForTerminationOfCashFlowSwapOperating,0,161000,589000,4045000,1239000
RealizedLossesOnDerivativeOperating,522000,540000,531000,2280000,218000
IncreaseDecreaseInAccountsReceivable,-2257000,2227000,2858000,745000,4030000
PaymentsForCommissions,28940000,25807000,17762000,17473000,10447000
IncreaseDecreaseInOtherOperatingAssets,-801000,1092000,594000,6357000,2352000
IncreaseDecreaseInLeasingReceivables,,,0,0,-20302000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,8886000,4658000,9304000,11895000,4825000
IncreaseDecreaseInSecurityDeposits,-3075000,3450000,6294000,6776000,-415000
IncreaseDecreaseInPrepaidRent,29354000,-1270000,1947000,1056000,-1232000
NetCashProvidedByUsedInOperatingActivities,478917000,427548000,327695000,231463000,182994000
PaymentsToAcquireCommercialRealEstate,1505993000,1312085000,2328430000,1858413000,928687000
PaymentsForCapitalImprovements,373392000,266564000,135095000,102475000,78765000
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,-2125000,2125000,1000000,8445000,4067000
ProceedsFromSaleOfRealEstateHeldforinvestment,41286000,27028000,15315000,56566000,23996000
NetCashProvidedByUsedInInvestingActivities,-1835974000,-1676446000,-2449210000,-1912767000,-987523000
PaymentsForRepurchaseOfRedeemablePreferredStock,,0,0,90000000,0
ProceedsFromIssuanceOfCommonStock,649544000,1275732000,1809231000,1626091000,734096000
ProceedsFromIssuanceOfLongTermDebt,1129875000,646925000,2714000000,1264557000,471844000
RepaymentsOfLongTermDebt,13402000,357491000,2176606000,1095280000,175671000
PaymentsOfFinancingCosts,4602000,3042000,7300000,4555000,6085000
PaymentsOfDividendsPreferredStockAndPreferenceStock,9258000,9258000,9258000,12563000,14545000
PaymentsOfDividendsCommonStock,354226000,290728000,201902000,129793000,99292000
PaymentsOfDividendsMinorityInterest,13725000,11460000,8582000,6418000,3328000
DistributionMadeToLimitedPartnerCashDistributionsPaid,2346000,3208000,3124000,2832000,2546000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2154000,1914000,2156000,1428000,1278000
NetCashProvidedByUsedInFinancingActivities,1379584000,1245556000,2114303000,1547779000,903195000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,22527000,-3342000,-7212000,-133525000,98666000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,55971000,33444000,36786000,43998000,177523000
InterestPaidNet,74187000,54617000,44811000,32979000,27924000
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,2084000,0,6363000,0,3204000
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,0,0,56167000,0,179262000
NoncashOrPartNoncashAcquisitionDebtAssumed1,,0,0,16512000,65264000
CapitalExpendituresIncurredButNotYetPaid,68745000,55344000,29074000,15700000,11811000
DividendsPayableCurrentAndNoncurrent,97823000,83733000,62033000,40143000,29747000
NoncashIncreaseInSalesTypeLeaseReceivableRelatedToLeaseReclassification,,,0,0,20302000
IncreaseDecreaseInRealEstateInvestmentsNet,,,0,0,-16117000
IncreaseDecreaseInDeferredRentReceivablesNet,,,0,0,-63000
IncreaseDecreaseInDeferredCostsLeasingNet,,,0,0,-164000
FiniteLivedIntangibleAssetsPeriodIncreaseDecrease,,,0,0,-136000
SalesTypeLeaseSellingProfitLoss,,,0,0,3822000
AmortizationOfDeferredLoanOriginationFeesNet,460000,84000,0,0,
PaymentsForProceedsFromLoansReceivable,0,122700000,0,0,
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,122000,0,0,,
