key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,922096000,791383000,630578000,451733000,329377000
RevenueFromContractWithCustomerExcludingAssessedTax,611000,682000,616000,468000,420000
InterestIncomeOperating,13700000,5761000,10000,37000,338000
Revenues,936407000,797826000,631204000,452238000,330135000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,210260000,184479000,150503000,107721000,79716000
GeneralAndAdministrativeExpense,82153000,75027000,64264000,48990000,36795000
DepreciationAndAmortization,275247000,244510000,196794000,151269000,115269000
CostsAndExpenses,567660000,504016000,411561000,307980000,231780000
OtherExpenses,2238000,1820000,1561000,1297000,124000
InterestExpense,98596000,61400000,48496000,40139000,30849000
OtherCostAndExpenseOperating,668494000,567236000,461618000,349416000,262753000
GainsLossesOnExtinguishmentOfDebt,0,0,-915000,-505000,-104000
GainsLossesOnSalesOfInvestmentRealEstate,18013000,19001000,8486000,33929000,13617000
ProfitLoss,285926000,249591000,177157000,136246000,80895000
NetIncomeLossAttributableToNoncontrollingInterest,12124000,11575000,9573000,8005000,4492000
NetIncomeLoss,273802000,238016000,167584000,128241000,76403000
PreferredStockDividendsIncomeStatementImpact,9258000,9258000,9258000,12563000,14545000
PreferredStockRedemptionPremium,,0,0,3349000,0
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,1679000,1309000,845000,568000,509000
NetIncomeLossAvailableToCommonStockholdersBasic,262865000,227449000,157481000,111761000,61349000
EarningsPerShareBasic,1.20,1.12,0.92,0.80,0.51
EarningsPerShareDiluted,1.20,1.12,0.92,0.80,0.51
WeightedAverageNumberOfSharesOutstandingBasic,218279597,202883704,170467365,139294882,120873624
WeightedAverageNumberOfDilutedSharesOutstanding,218466954,203110993,170978272,140075689,121178310
