key,2024-04-09,2024-03-31,2023-12-31,2023-03-31,2023-02-28,2022-12-31
Land,,7568720000,6815622000,,,
InvestmentBuildingAndBuildingImprovements,,4260512000,3933379000,,,
TenantImprovements,,172707000,167251000,,,
FixturesAndEquipmentGross,,132000,132000,,,
DevelopmentInProcess,,258413000,240010000,,,
RealEstateInvestmentPropertyAtCost,,12260484000,11156394000,,,
RealEstateInvestmentPropertyAccumulatedDepreciation,,827576000,782461000,,,
RealEstateInvestmentPropertyNet,,11432908000,10373933000,,,
CashAndCashEquivalentsAtCarryingValue,,336960000,33444000,253618000,,36786000
NotesReceivableNet,,122899000,122784000,,,
AccountsReceivableNet,,17896000,17494000,,,
DeferredRentReceivablesNet,,130694000,123325000,,,
DeferredCostsLeasingNet,,61017000,59351000,,,
DeferredFinanceCostsNet,,3069000,3426000,,,
FiniteLivedIntangibleAssetsNet,,12642000,12683000,,,
OtherIndefiniteLivedIntangibleAssets,,5156000,5156000,,,
InterestRateDerivativeAssetsAtFairValue,,0,0,,,
OtherAssets,,22114000,25225000,,,
DepositsAssets,,7975000,2125000,,,
Assets,,12381123000,10929829000,,,
LongTermDebt,,3349120000,2225914000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,148920000,128842000,,,
DividendsPayableCurrentAndNoncurrent,,94356000,83733000,79370000,,
OffMarketLeaseUnfavorable,,171687000,147561000,,,
SecurityDepositLiability,,91034000,84872000,,,
AdvanceRent,,110727000,115002000,,,
Liabilities,,3965844000,2785924000,,,
PreferredStockValue,,83233000,83233000,,,
CommonStockValue,,2178000,2123000,,,
AdditionalPaidInCapitalCommonStock,,8233127000,7940781000,,,
AccumulatedDistributionsInExcessOfNetIncome,,370720000,338835000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,13922000,7172000,,,
StockholdersEquity,,8034183000,7766917000,,,
MinorityInterest,,381096000,376988000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,381096000,376988000,7558310000,,6923342000
LiabilitiesAndStockholdersEquity,,12381123000,10929829000,,,
