key,2024-04-09,2024-03-31,2023-12-31,2023-03-31,2023-02-28,2022-12-31
ProfitLoss,,2906000,,3064000,,
DepreciationAndAmortization,,66278000,,59429000,,
AmortizationOfAboveAndBelowMarketLeases,,-6722000,,-8331000,,
AmortizationOfFinancingCosts,,1011000,,856000,,
AmortizationOfDebtDiscountPremium,,293000,,66000,,
OperatingLeaseImpairmentLoss,,0,,200000,200000,
AmortizationOfDeferredLoanOriginationFeesNet,,115000,,0,,
GainsLossesOnSalesOfInvestmentRealEstate,,0,,12133000,,
ShareBasedCompensation,,9088000,,8178000,,
StraightLineRent,,7368000,,7628000,,
PaymentsForTerminationOfCashFlowSwapOperating,,0,,161000,,
RealizedLossesOnDerivativeOperating,,138000,,129000,,
IncreaseDecreaseInAccountsReceivable,,402000,,-1393000,,
PaymentsForCommissions,,5331000,,3444000,,
IncreaseDecreaseInOtherOperatingAssets,,-4556000,,-3467000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,21093000,,15304000,,
IncreaseDecreaseInSecurityDeposits,,-1432000,,1201000,,
IncreaseDecreaseInPrepaidRent,,10739000,,2619000,,
NetCashProvidedByUsedInOperatingActivities,,133756000,,119506000,,
PaymentsToAcquireCommercialRealEstate,,1068031000,,734257000,,
PaymentsForCapitalImprovements,,79901000,,44235000,,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,,5850000,,3625000,,
ProceedsFromSaleOfRealEstateHeldforinvestment,,0,,16239000,,
NetCashProvidedByUsedInInvestingActivities,,-1153782000,,-765878000,,
ProceedsFromIssuanceOfCommonStock,,290116000,,652597000,,
ProceedsFromIssuanceOfLongTermDebt,,1129875000,,646925000,,
RepaymentsOfLongTermDebt,,3937000,,350379000,,
PaymentsOfFinancingCosts,,3679000,,2807000,,
PaymentsOfDividendsPreferredStockAndPreferenceStock,,2314000,,2314000,,
PaymentsOfDividendsCommonStock,,80692000,,59570000,,
PaymentsOfDividendsMinorityInterest,,3041000,,2463000,,
DistributionMadeToLimitedPartnerCashDistributionsPaid,30000,797000,,798000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,1989000,,1748000,,
NetCashProvidedByUsedInFinancingActivities,,1323542000,,879443000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,303516000,,233071000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,336960000,33444000,269857000,,36786000
InterestPaidNet,,11049000,,13307000,,
CapitalExpendituresIncurredButNotYetPaid,,54239000,,25154000,,
DividendsPayableCurrentAndNoncurrent,,94356000,83733000,79370000,,
