key,2024-04-09,2024-03-31,2023-12-31,2023-03-31,2023-02-28,2022-12-31
OperatingLeaseLeaseIncome,,210990000,,185164000,,
RevenueFromContractWithCustomerExcludingAssessedTax,,132000,,190000,,
InterestIncomeOperating,,2974000,,882000,,
Revenues,,100000,,200000,,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,,47482000,,42825000,,
GeneralAndAdministrativeExpense,,19980000,,18197000,,
DepreciationAndAmortization,,66278000,,59429000,,
CostsAndExpenses,,133740000,,120451000,,
OtherExpenses,,1408000,,647000,,
InterestExpense,,14671000,,13701000,,
OtherCostAndExpenseOperating,,149819000,,134799000,,
GainsLossesOnSalesOfInvestmentRealEstate,,0,,12133000,,
ProfitLoss,,2906000,,3064000,,
NetIncomeLossAttributableToNoncontrollingInterest,,2906000,,3064000,,
NetIncomeLoss,,61371000,,60506000,,
PreferredStockDividendsIncomeStatementImpact,,2314000,,2314000,,
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,,418000,,320000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,58639000,,57872000,,
EarningsPerShareBasic,,0.27,,0.30,,
EarningsPerShareDiluted,,0.27,,0.30,,
WeightedAverageNumberOfSharesOutstandingBasic,,214401661,,195366969,,
WeightedAverageNumberOfDilutedSharesOutstanding,,214437913,,195779007,,
