key,2025-03-31,2025-03-06,2024-12-31,2024-03-31,2023-12-31
Land,7797744000,,7822290000,,
InvestmentBuildingAndBuildingImprovements,4573881000,,4611987000,,
TenantImprovements,181632000,,188217000,,
FixturesAndEquipmentGross,132000,,132000,,
DevelopmentInProcess,386719000,,333690000,,
RealEstateInvestmentPropertyAtCost,12940108000,,12956316000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,1021151000,,977133000,,
RealEstateInvestmentPropertyNet,11918957000,,11979183000,,
CashAndCashEquivalentsAtCarryingValue,504579000,,55971000,336960000,33444000
RestrictedCash,50105000,,0,0,0
NotesReceivableNet,123359000,,123244000,,
AccountsReceivableNet,17622000,,15772000,,
DeferredRentReceivablesNet,166893000,,161693000,,
DeferredCostsLeasingNet,70404000,,67827000,,
DeferredFinanceCostsNet,1642000,,1999000,,
FiniteLivedIntangibleAssetsNet,12476000,,12517000,,
OtherIndefiniteLivedIntangibleAssets,5156000,,5156000,,
InterestRateDerivativeAssetsAtFairValue,0,,0,,
OtherAssets,20730000,,26964000,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,18386000,,0,,
Assets,13085857000,,12648218000,,
LongTermDebt,3348060000,,3345962000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,141999000,,149707000,,
DividendsPayableCurrentAndNoncurrent,105285000,,97823000,94356000,
OffMarketLeaseUnfavorable,136661000,,147473000,,
SecurityDepositLiability,90050000,,90698000,,
AdvanceRent,88822000,,90576000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,234000,,0,,
Liabilities,3911111000,,3922239000,,
PreferredStockValue,83233000,,83233000,,
CommonStockValue,2362000,,2253000,,
AdditionalPaidInCapitalCommonStock,9116069000,,8601276000,,
AccumulatedDistributionsInExcessOfNetIncome,474550000,,441881000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3582000,,6746000,,
StockholdersEquity,8803139000,,8324070000,,
MinorityInterest,371607000,,401909000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,371607000,,401909000,8415279000,8143905000
LiabilitiesAndStockholdersEquity,13085857000,,12648218000,,
