key,2025-03-31,2025-03-06,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,2849000,,,2906000,
DepreciationAndAmortization,86740000,,,66278000,
AmortizationOfAboveAndBelowMarketLeases,-8326000,,,-6722000,
AmortizationOfFinancingCosts,1134000,,,1011000,
AmortizationOfDebtDiscountPremium,1560000,,,293000,
AmortizationOfDeferredLoanOriginationFeesNet,115000,,,115000,
GainsLossesOnSalesOfInvestmentRealEstate,13157000,,,0,
ShareBasedCompensation,9699000,,,9088000,
StraightLineRent,5517000,,,7368000,
RealizedLossesOnDerivativeOperating,77000,,,138000,
IncreaseDecreaseInAccountsReceivable,1853000,,,402000,
PaymentsForCommissions,5455000,,,5331000,
IncreaseDecreaseInOtherOperatingAssets,-5962000,,,-4556000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,9939000,,,21093000,
IncreaseDecreaseInSecurityDeposits,-648000,,,-1432000,
IncreaseDecreaseInPrepaidRent,677000,,,10739000,
NetCashProvidedByUsedInOperatingActivities,152551000,,,133756000,
PaymentsToAcquireCommercialRealEstate,0,,,1068031000,
PaymentsForCapitalImprovements,79148000,,,79901000,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,0,,,5850000,
ProceedsFromSaleOfRealEstateHeldforinvestment,50105000,,,0,
NetCashProvidedByUsedInInvestingActivities,-29043000,,,-1153782000,
ProceedsFromIssuanceOfCommonStock,477598000,,,290116000,
ProceedsFromIssuanceOfLongTermDebt,0,,,1129875000,
RepaymentsOfLongTermDebt,239000,,,3937000,
PaymentsOfFinancingCosts,0,,,3679000,
PaymentsOfDividendsPreferredStockAndPreferenceStock,2314000,,,2314000,
PaymentsOfDividendsCommonStock,94056000,,,80692000,
PaymentsOfDividendsMinorityInterest,3767000,,,3041000,
DistributionMadeToLimitedPartnerCashDistributionsPaid,381000,300000,,797000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1636000,,,1989000,
NetCashProvidedByUsedInFinancingActivities,375205000,,,1323542000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,498713000,,,303516000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,554684000,,55971000,336960000,33444000
InterestPaidNet,35095000,,,11049000,
CapitalExpendituresIncurredButNotYetPaid,48549000,,,54239000,
DividendsPayableCurrentAndNoncurrent,105285000,,97823000,94356000,
