key,2025-03-31,2025-03-06,2024-12-31,2024-03-31,2023-12-31
OperatingLeaseLeaseIncome,248821000,,,210990000,
RevenueFromContractWithCustomerExcludingAssessedTax,142000,,,132000,
InterestIncomeOperating,3324000,,,2974000,
Revenues,100000,,,100000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,55261000,,,47482000,
GeneralAndAdministrativeExpense,19868000,,,19980000,
DepreciationAndAmortization,86740000,,,66278000,
CostsAndExpenses,161869000,,,133740000,
OtherExpenses,2239000,,,1408000,
InterestExpense,27288000,,,14671000,
OtherCostAndExpenseOperating,191396000,,,149819000,
GainsLossesOnSalesOfInvestmentRealEstate,13157000,,,0,
ProfitLoss,2849000,,,2906000,
NetIncomeLossAttributableToNoncontrollingInterest,2849000,,,2906000,
NetIncomeLoss,71199000,,,61371000,
PreferredStockDividendsIncomeStatementImpact,2314000,,,2314000,
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,539000,,,418000,
NetIncomeLossAvailableToCommonStockholdersBasic,68346000,,,58639000,
EarningsPerShareBasic,0.30,,,0.27,
EarningsPerShareDiluted,0.30,,,0.27,
WeightedAverageNumberOfSharesOutstandingBasic,227395984,,,214401661,
WeightedAverageNumberOfDilutedSharesOutstanding,227395984,,,214437913,
