key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,471000000.0,1071800000,490700000,662200000,704600000
ReceivablesNetCurrent,1802000000,2167400000,1736700000,1424500000,
InventoryNet,1293100000,1404900000,1054200000,798100000,
OtherAssetsCurrent,315100000,266700000,329100000,178600000,
AssetsCurrent,3881200000,4910800000,3610700000,3063400000,
PropertyPlantAndEquipmentNet,776700000,684200000,586500000,581900000,429400000
OperatingLeaseRightOfUseAsset,422600000,349400000,321000000.0,377700000,
Goodwill,3993300000,3529200000,3524000000,3625900000,224800000
IntangibleAssetsNetExcludingGoodwill,1066300000,852400000,902000000.0,1021800000,
DeferredIncomeTaxAssetsNet,517000000.0,459300000,384300000,380900000,
LongTermInvestments,168700000,157100000,1056000000,1363500000,
OtherAssetsNoncurrent,406300000,361600000,374200000,286500000,
Assets,11232100000,11304000000,10758700000,10701600000,1585000000
ShortTermBorrowings,770800000,94700000,359300000,509700000,
LongTermDebtCurrent,307400000,8600000,609100000,6800000,
AccountsPayableCurrent,860400000,1150200000,1028000000,889800000,
EmployeeRelatedLiabilitiesCurrent,259000000.0,499900000,292700000,408000000.0,
ContractWithCustomerLiabilityCurrent,584100000,592500000,507000000.0,,
CustomerReturnsRebatesAndIncentives,346800000,452000000.0,373100000,237800000,
OtherLiabilitiesCurrent,475400000,567400000,403000000.0,477600000,
LiabilitiesCurrent,3603900000,3365300000,3572200000,2992200000,
LongTermDebtAndCapitalLeaseObligations,2561300000,2862900000,2867800000,3464600000,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,549100000,503600000,471200000,720600000,
OperatingLeaseLiabilityNoncurrent,355600000,285300000,263500000,313600000,
OtherLiabilitiesNoncurrent,487000000.0,543500000,567300000,516500000,
CommonStockValue,181400000,181400000,181400000,181400000,
AdditionalPaidInCapitalCommonStock,2188600000,2102500000,2007100000,1933600000,
RetainedEarningsAccumulatedDeficit,9634900000,9255200000,8411800000,8000400000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-772400000,-790100000,-917500000,-1017100000,
TreasuryStockValue,7734200000,7187400000,6957200000,6708700000,
StockholdersEquity,3498300000,3561600000,2725600000,2389600000,
MinorityInterest,176900000,181800000,291100000,304500000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3675200000,3743400000,3016700000,2694100000,181400000
LiabilitiesAndStockholdersEquity,11232100000,11304000000,10758700000,10701600000,
