key,2024,2023,2022,2021,2020
ProfitLoss,947300000,1278000000,919100000,1344300000,1023200000
Depreciation,162400000,133800000,126600000,123900000,122500000
AmortizationOfIntangibleAssets,155000000.0,116600000,112300000,65900000,50200000
GainLossOnInvestments,100000,279300000,-136900000,397400000,153900000
ShareBasedCompensation,99800000,88300000,68100000,51700000,46100000
RetirementBenefitsExpenses,17900000,125300000,76400000,155100000,129500000
PensionContributions,28300000,25900000,53600000,35800000,84100000
DeferredIncomeTaxExpenseBenefit,-68100000,-100100000,-33600000,-184100000,-65700000
GainLossOnSaleOfPropertyPlantEquipment,400000,-500000,-600000,-500000,12400000
GainLossOnDerivativeInstrumentsNetPretax,,0,0,28000000.0,-22000000.0
IncreaseDecreaseInReceivables,-405200000,368700000,415600000,138100000,9000000.0
IncreaseDecreaseInInventories,-131500000,295900000,292800000,202800000,-30400000
IncreaseDecreaseInAccountsPayable,-290700000,70200000,172000000.0,184800000,-5000000.0
IncreaseDecreaseInContractWithCustomerLiability,-7400000,106800000,102000000.0,104400000,43300000
IncreaseDecreaseInEmployeeRelatedLiabilities,-254900000,209100000,-78200000,174600000,-44600000
IncreaseDecreaseInIncomeTaxes,-236600000,104100000,-129300000,57200000,-11800000
IncreaseDecreaseInOtherOperatingCapitalNet,168800000,-54300000,-112200000,15200000,-39800000
NetCashProvidedByUsedInOperatingActivities,863800000,1374600000,823100000,1261000000,1120500000
PaymentsToAcquirePropertyPlantAndEquipment,,160500000,141100000,120300000,113900000
PaymentsToAcquireBusinessesNetOfCashAcquired,749200000,168400000,16600000,2488500000,550900000
PaymentsToAcquireInvestments,10000000.0,27100000,59800000,13600000,10700000
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,200000,1210400000,210200000,0,37900000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,600000,400000,14900000
PaymentsForProceedsFromOtherInvestingActivities,-1200000,100000,1100000,4600000,-4700000
NetCashProvidedByUsedInInvestingActivities,-982500000,854300000,-7800000,-2626600000,-618000000.0
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,655200000,-256900000,40800000,275900000,0
ProceedsFromOtherShortTermDebt,18800000,0,18800000,211400000,423600000
ProceedsFromIssuanceOfLongTermDebt,,0,0,1485600000,0
RepaymentsOfShortTermDebt,0,18800000,210000000.0,2500000,400000000.0
RepaymentsOfLongTermDebt,0,599800000,0,0,300700000
PaymentsOfDividends,571000000.0,542400000,519400000,497100000,472800000
PaymentsForRepurchaseOfCommonStock,594900000,311500000,301300000,299700000,264200000
ProceedsFromStockOptionsExercised,39400000,88500000,57900000,154600000,214400000
ProceedsFromPaymentsForOtherFinancingActivities,-50300000,-34700000,-21000000.0,-30400000,800000
NetCashProvidedByUsedInFinancingActivities,-502800000,-1675600000,-934200000,1297800000,-798900000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,12100000,19200000,-52600000,16800000,8400000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-609400000,572500000,-171500000,-51000000.0,-288000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,471000000.0,1080400000,507900000,679400000,730400000
CashAndCashEquivalentsAtCarryingValue,471000000.0,1071800000,490700000,662200000,704600000
RestrictedCashCurrent,0,8600000,8600000,0,0
RestrictedCashNoncurrent,0,0,8600000,17200000,25800000
GoodwillImpairmentLoss,0,157500000,0,0,
PaymentsToAcquireProductiveAssets,224700000,160500000,141100000,,
