key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,7330700000,8224900000,6993400000,6285200000,5663600000
CostOfGoodsAndServicesSold,4558100000,4808700000,4173400000,3638700000,3305900000
GrossProfit,3193400000,3717000000,3102000000,2897700000,2595200000
SellingGeneralAndAdministrativeExpense,2002600000,2023700000,1766700000,1680000000,1479800000
GainLossOnInvestments,100000,279300000,-136900000,397400000,153900000
OtherIncomeExpense,62800000,-71300000,-1600000,5700000,-29700000
InterestExpense,,135300000,123200000,94600000,103500000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1099100000,1608500000,1073600000,1526200000,1136100000
IncomeTaxExpenseBenefit,151800000,330500000,154500000,181900000,112900000
ProfitLoss,947300000,1278000000,919100000,1344300000,1023200000
NetIncomeLossAttributableToNoncontrollingInterest,-5200000,-109400000,-13100000,-13800000,-200000
NetIncomeLoss,952500000,1387400000,932200000,1358100000,1023400000
EarningsPerShareBasic,8.32,12.03,8.02,11.69,8.83
EarningsPerShareDiluted,8.28,11.95,7.97,11.58,8.77
WeightedAverageNumberOfSharesOutstandingBasic,114000000.0,114800000,115900000,116000000.0,115800000
WeightedAverageNumberOfDilutedSharesOutstanding,114500000,115600000,116700000,117100000,116600000
GoodwillImpairmentLoss,0,157500000,0,0,
InterestExpenseNonoperating,154600000,135300000,123200000,,
