key,2024-04-25,2024-03-31,2023-12-31,2023-11-01,2023-10-02,2023-09-30,2023-03-31,2023-02-28,2022-12-31,2022-09-30
CashAndCashEquivalentsAtCarryingValue,,470300000,,,,1071800000,456000000.0,,,
ReceivablesNetCurrent,,1960200000,,,,2167400000,,,,
InventoryNet,,1384700000,,,,1404900000,,,,
OtherAssetsCurrent,,299000000.0,,,,266700000,,,,
AssetsCurrent,,4114200000,,,,4910800000,,,,
PropertyPlantAndEquipmentNet,,715400000,,,,684200000,,,,
OperatingLeaseRightOfUseAsset,,405500000,,,,349400000,,,,
Goodwill,,648700000,,132800000,289000000.0,513300000,,111300000,,
IntangibleAssetsNetExcludingGoodwill,,1140700000,,,,852400000,,,,
DeferredIncomeTaxAssetsNet,,477800000,,,,459300000,,,,
LongTermInvestments,,171800000,,,,157100000,,,,
OtherAssetsNoncurrent,,377500000,,,,361600000,,,,
Assets,,11367300000,,,,11304000000,,,,
ShortTermBorrowings,18800000,707000000,,,,23500000,,,,
LongTermDebtCurrent,,302900000,,,,8600000,,,,
AccountsPayableCurrent,,903200000,,,,1150200000,,,,
EmployeeRelatedLiabilitiesCurrent,,228200000,,,,499900000,,,,
ContractWithCustomerLiabilityCurrent,,609800000,,,,592500000,,,,
CustomerReturnsRebatesAndIncentives,,427500000,,,,452000000.0,,,,
OtherLiabilitiesCurrent,,447500000,,,,567400000,,,,
LiabilitiesCurrent,,3703000000,,,,3365300000,,,,
LongTermDebtNoncurrent,,2584500000,,,,2862900000,,,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,,512800000,,,,503600000,,,,
OperatingLeaseLiabilityNoncurrent,,333200000,,,,285300000,,,,
OtherLiabilitiesNoncurrent,,511800000,,,,543500000,,,,
CommitmentsAndContingencies,,,,,,,,,,
CommonStockValue,,181400000,,,,181400000,,,,
AdditionalPaidInCapitalCommonStock,,2141900000,,,,2102500000,,,,
RetainedEarningsAccumulatedDeficit,,9449300000,,,,9255200000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-762000000.0,,,,-790100000,,,,
TreasuryStockCommonValue,,7467000000,,,,7187400000,,,,
StockholdersEquity,,3543600000,,,,3561600000,,,,
MinorityInterest,,178400000,,,,181800000,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-31300000,-42000000.0,,,-18100000,-25500000,,-25800000,-4700000
LiabilitiesAndStockholdersEquity,,11367300000,,,,11304000000,,,,
