key,2024-04-25,2024-03-31,2023-12-31,2023-11-01,2023-10-02,2023-09-30,2023-03-31,2023-02-28,2022-12-31,2022-09-30
ProfitLoss,,-3400000,,,,,-10700000,,,
Depreciation,,80200000,,,,,61900000,,,
AmortizationOfIntangibleAssets,,77500000,,,,,58000000.0,,,
GainLossOnInvestments,,5900000,,,,,203600000,,,
ShareBasedCompensation,,51000000.0,,,,,41600000,,,
RetirementBenefitsExpenses,,9000000.0,,,,,114400000,,,
GainLossOnDispositionOfAssets1,,-400000,,,,,-700000,,,
PensionContributions,,12000000.0,,,,,13400000,,,
IncreaseDecreaseInReceivables,,-238900000,,,,,211100000,,,
IncreaseDecreaseInInventories,,-58200000,,,,,220600000,,,
IncreaseDecreaseInAccountsPayable,,-220200000,,,,,-75500000,,,
IncreaseDecreaseInContractWithCustomerLiability,,22500000,,,,,85100000,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,-284800000,,,,,14100000,,,
IncreaseDecreaseInIncomeTaxes,,-227800000,,,,,-30800000,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,112600000,,,,,41000000.0,,,
NetCashProvidedByUsedInOperatingActivities,,152400000,,,,,253400000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,119100000,,,,,55700000,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,748700000,,,565500000,,168000000.0,,,
PaymentsToAcquireInvestments,,7900000,,,,,5200000,,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,0,,,,,205200000,,,
PaymentsForProceedsFromOtherInvestingActivities,,600000,,,,,-4200000,,,
NetCashProvidedByUsedInInvestingActivities,,-876300000,,,,,-19500000,,,
ProceedsFromShortTermDebt,,705900000,,,,,162200000,,,
RepaymentsOfShortTermDebt,,0,,,,,18800000,,,
PaymentsOfDividends,,287300000,,,,,271400000,,,
PaymentsForRepurchaseOfCommonStock,,313700000,,,,,195200000,,,
ProceedsFromStockOptionsExercised,,26700000,,,,,48700000,,,
ProceedsFromPaymentsForOtherFinancingActivities,,-23000000.0,,,,,-22000000.0,,,
NetCashProvidedByUsedInFinancingActivities,,108600000,,,,,-296500000,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,5200000,,,,,19300000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,-610100000,,,,,-43300000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,470300000,,,,1080400000,464600000,,,507900000
CashAndCashEquivalentsAtCarryingValue,,470300000,,,,1071800000,456000000.0,,,
RestrictedCashAndCashEquivalentsAtCarryingValue,,0,,,,,8600000,,,
