key,2025-04-01,2025-03-31,2024-12-31,2024-09-30,2024-03-31,2023-12-31,2023-11-01,2023-10-02,2023-09-30
CashAndCashEquivalentsAtCarryingValue,,450000000,,471000000,,,,,
ReceivablesNetCurrent,,1820000000,,1802000000,,,,,
InventoryNet,,1175000000,,1293000000,,,,,
OtherAssetsCurrent,,325000000,,315000000,,,,,
AssetsCurrent,,3770000000,,3881000000,,,,,
PropertyPlantAndEquipmentNet,,766000000,,777000000,,,,,
OperatingLeaseRightOfUseAsset,,385000000,,423000000,,,,,
Goodwill,,646000000,,656000000,,,133000000,283000000,
IntangibleAssetsNetExcludingGoodwill,,992000000,,1066000000,,,,,
DeferredIncomeTaxAssetsNet,,552000000,,517000000,,,,,
OtherAssetsNoncurrent,,590000000,,575000000,,,,,
Assets,,10993000000,,11232000000,,,,,
ShortTermBorrowings,14000000,996000000,,42000000,,,,,
LongTermDebtCurrent,,4000000,,305000000,,,,,
AccountsPayableCurrent,,766000000,,860000000,,,,,
EmployeeRelatedLiabilitiesCurrent,,285000000,,259000000,,,,,
ContractWithCustomerLiabilityCurrent,,649000000,,584000000,,,,,
CustomerReturnsRebatesAndIncentives,,334000000,,347000000,,,,,
OtherLiabilitiesCurrent,,436000000,,476000000,,,,,
LiabilitiesCurrent,,3584000000,,3604000000,,,,,
LongTermDebtNoncurrent,,2568000000,,2561000000,,,,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,,545000000,,549000000,,,,,
OperatingLeaseLiabilityNoncurrent,,321000000,,356000000,,,,,
OtherLiabilitiesNoncurrent,,370000000,,487000000,,,,,
CommitmentsAndContingencies,,,,,,,,,
CommonStockValue,,141000000,,181000000,,,,,
AdditionalPaidInCapitalCommonStock,,2228000000,,2188000000,,,,,
RetainedEarningsAccumulatedDeficit,,5285000000,,9635000000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-833000000,,-772000000,,,,,
TreasuryStockCommonValue,,3382000000,,7734000000,,,,,
StockholdersEquity,,3439000000,,3498000000,,,,,
MinorityInterest,,166000000,,177000000,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-833000000,-872000000,-772000000,-762000000,-730000000,,,-790000000
LiabilitiesAndStockholdersEquity,,10993000000,,11232000000,,,,,
