key,2025-04-01,2025-03-31,2024-12-31,2024-09-30,2024-03-31,2023-12-31,2023-11-01,2023-10-02,2023-09-30
ProfitLoss,,426000000,,,478000000,,,,
Depreciation,,83000000,,,80000000,,,,
AmortizationOfIntangibleAssets,,76000000,,,78000000,,,,
GainLossOnInvestments,,-3000000,,,6000000,,,,
ShareBasedCompensation,,44000000,,,51000000,,,,
RetirementBenefitsExpenses,,21000000,,,9000000,,,,
GainLossOnDispositionOfAssets1,,-1000000,,,0,,,,
PensionContributions,,6000000,,,12000000,,,,
IncreaseDecreaseInReceivables,,51000000,,,-239000000,,,,
IncreaseDecreaseInInventories,,-95000000,,,-58000000,,,,
IncreaseDecreaseInAccountsPayable,,-62000000,,,-220000000,,,,
IncreaseDecreaseInContractWithCustomerLiability,,70000000,,,23000000,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,31000000,,,-285000000,,,,
IncreaseDecreaseInIncomeTaxes,,-119000000,,,-228000000,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,,49000000,,,112000000,,,,
NetCashProvidedByUsedInOperatingActivities,,563000000,,,153000000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,99000000,,,119000000,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,0,,,748000000,,,566000000,
PaymentsToAcquireInvestments,,13000000,,,8000000,,,,
PaymentsForProceedsFromOtherInvestingActivities,,10000000,,,1000000,,,,
NetCashProvidedByUsedInInvestingActivities,,-122000000,,,-876000000,,,,
ProceedsFromShortTermDebt,,339000000,,,706000000,,,,
ProceedsFromDebtNetOfIssuanceCosts,,6000000,,,0,,,,
RepaymentsOfLongTermDebt,,300000000,,,0,,,,
PaymentsOfDividends,,297000000,,,287000000,,,,
PaymentsForRepurchaseOfCommonStock,,232000000,,,314000000,,,,
ProceedsFromStockOptionsExercised,,48000000,,,27000000,,,,
ProceedsFromPaymentsForOtherFinancingActivities,,-9000000,,,-23000000,,,,
NetCashProvidedByUsedInFinancingActivities,,-445000000,,,109000000,,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,-17000000,,,5000000,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,-21000000,,,-609000000,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,450000000,,471000000,471000000,,,,1080000000
