key,2025-04-01,2025-03-31,2024-12-31,2024-09-30,2024-03-31,2023-12-31,2023-11-01,2023-10-02,2023-09-30
RevenueFromContractWithCustomerExcludingAssessedTax,,2000000,,,-2000000,,,,
CostOfGoodsAndServicesSold,,11000000,,,13000000,,,,
GrossProfit,,1532000000,,,1628000000,,,,
SellingGeneralAndAdministrativeExpense,,0,,,0,,,,
GainLossOnInvestments,,-3000000,,,6000000,,,,
OtherIncomeExpense,,6000000,,,24000000,,,,
InterestExpenseNonoperating,,-2000000,,,-2000000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-7000000,,,-13000000,,,,
IncomeTaxExpenseBenefit,,-2000000,,,-4000000,,,,
ProfitLoss,,426000000,,,478000000,,,,
NetIncomeLossAttributableToNoncontrollingInterest,,-10000000,,,-3000000,,,,
NetIncomeLoss,,6000000,,,-6000000,,,,
EarningsPerShareBasic,,3.84,,,4.19,,,,
EarningsPerShareDiluted,,3.83,,,4.17,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,113000000.0,,,114400000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,113400000,,,115000000.0,,,,
