key,2024,2023,2022,2021,2020
RealEstateInvestmentPropertyAtCost,740971000,744337000,94593000,113510000,1752053000
RealEstateInvestmentPropertyAccumulatedDepreciation,46428000,40400000,18096000,21360000,267772000
RealEstateInvestmentPropertyHeldForUseNet,,,76497000,92150000,1484281000
RealEstateAvailableAndHeldForSale,,,3977000,301000,5212000
RealEstateInvestmentPropertyNet,694543000,703937000,80474000,92451000,1489493000
SalesTypeLeaseNetInvestmentInLease,,,,43215000,429101000
InventoryRealEstateLandAndLandDevelopmentCosts,,,232014000,286810000,430663000
LoansAndOtherLendingInvestments,,,,,732330000
OtherInvestments,,,1360682000,1297281000,1176560000
CashAndCashEquivalentsAtCarryingValue,8346000,18761000,1442269000,339601000,98633000
AccruedInterestAndOperatingLeaseIncomeReceivableNet,,,1132000,1813000,10061000
DeferredRentReceivablesNet,210773000,180032000,1137000,3159000,58128000
DeferredExpensesAndOtherAssetsNet,,,,,436839000
Assets,6899379000,6548314000,3253228000,4840534000,4861808000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,144991000,134518000,143477000,236732000,467922000
LiabilitiesHeldForSale,,,,3000,27000
ParticipatingMortgageLoansParticipationLiabilitiesAmount,,,,,42501000
LongTermDebt,4317439000,4054365000,1682521000,10000000,3286975000
Liabilities,4525352000,4252638000,1826331000,3777328000,3797425000
PreferredStockValue,,,12000,12000,12000
CommonStockValue,714000,711000,87000,69000,74000
AdditionalPaidInCapital,2191840000,2184299000,3459459000,3100015000,3240535000
RetainedEarningsAccumulatedDeficit,102472000,47580000,-2053270000,-2227213000,-2316972000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,48992000,-1337000,2230000,-21587000,-52680000
StockholdersEquity,2344018000,2231253000,1408518000,-10000000,870969000
MinorityInterest,30009000,45412000,18379000,211910000,193414000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2374027000,2276665000,1426897000,1063206000,1064383000
LiabilitiesAndStockholdersEquity,6899379000,6548314000,3253228000,4840534000,4861808000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,2939000,2299711000,
NotesReceivableNet,112359000,112111000,48655000,332844000,
LoansReceivableHeldForSaleAmount,,,37650000,43215000,
DeferredCostsAndOtherAssets,105015000,89238000,46276000,100434000,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,333000,968419000,
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLoss,3454953000,3255195000,3106599000,,
GroundLeaseReceivableNet,1833398000,1622298000,1374716000,,
FiniteLivedIntangibleAssetsNet,208731000,211113000,217795000,,
RealEstateHeldforsale,7233000,9711000,,,
RealEstateInvestmentPropertyIncludingFiniteLivedIntangibleAssetsNet,910507000,924761000,924395000,,
EquityMethodInvestments,250034000,310320000,180388000,,
Goodwill,,155797000,,,
RestrictedCash,8772000,27979000,28324000,8897000,
DeferredIncomeTaxAssetsNet,5222000,7619000,,,
BelowMarketLeaseNet,62922000,63755000,64591000,,
RedeemableNoncontrollingInterestEquityCarryingAmount,,19011000,19011000,,
