key,2024,2023,2022,2021,2020
ProfitLoss,106615000,-54565000,600414000,138026000,-30853000
ProvisionForLoanLossesExpensed,,,,,9052000
ProvisionForLeaseLosses,,,,,1760000
AssetImpairmentCharges,,,,,7827000
DepreciationDepletionAndAmortization,,,5470000,59294000,58092000
SalestypeLeaseNetInvestmentinLeaseNonCashInterestIncome,,,,,-24969000
ShareBasedCompensation,13757000,23230000,-27664000,69261000,39354000
AmortizationOfFinancingCostsAndDiscounts,7426000,7288000,9322000,8572000,13328000
AmortizationOfDiscountsOrPremiumsDeferredInterestAndCostsOnLendingInvestments,,,6859000,14481000,30738000
DecreaseIncreaseInDeferredInterestOnLoans,,,,,-20661000
VariableInterestEntityInitialConsolidationGainOrLoss,,,,,0
SalesTypeLeaseSellingProfitLoss,,,,25034000,0
IncomeLossFromEquityMethodInvestments,22977000,24229000,9055000,6279000,42126000
EquityMethodInvestmentDividendsOrDistributions,12870000,8003000,158427000,51588000,24826000
StraightLineRent,30740000,31163000,2055000,11310000,14052000
GainLossonSaleofPropertiesCashFlowImpact,,,,,6318000
LandDevelopmentRevenueInExcessOfCostOfSales,,,-1688000,17142000,-13025000
GainsLossesOnExtinguishmentOfDebt,,,,-216000,-12038000
OtherOperatingActivitiesCashFlowStatement,-7021000,-1448000,-13043000,720000,-19496000
IncreaseDecreaseInAccruedInterestAndOperatingLeaseAndIncomeReceivable,,,-2252000,-5493000,2311000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-5263000,-13080000,17562000,11995000,5351000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,8070000,-5967000,-51266000,-1764000,-1863000
NetCashProvidedByUsedInOperatingActivities,37855000,15391000,47667000,-20327000,21886000
PaymentsToAcquireNotesReceivable,,114450000,6740000,75250000,119368000
PaymentsToDevelopRealEstateAssets,,,1178000,6762000,15798000
PaymentforCapitalExpendituresonLandandDevelopmentAssets,,,21875000,23929000,40954000
PaymentsToAcquireRealEstate,,13078000,,,0
ProceedsFromPrincipalRepaymentsOnPortfolioOfAssets,,,129109000,270393000,208240000
ProceedsFromSaleOfLoansHeldForInvestment,,,,,11000000
ProceedsFromSaleOfRealEstateHeldforinvestment,5764000,1631000,2021821000,157258000,48415000
ProceedsFromSaleOfLandAndDevelopmentAssets,,,59946000,182723000,161063000
ProceedsFromConsolidationOfEquityMethodInvestmentCashAcquired,,,,,0
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,52425000,,175398000,35036000,39871000
PaymentsToAcquireEquityMethodInvestments,10049000,52479000,274544000,216997000,260121000
PaymentsForProceedsFromOtherInvestingActivities,1395000,1043000,-9325000,-158000,1169000
NetCashProvidedByUsedInInvestingActivities,-212370000,-576572000,2787812000,514016000,31179000
ProceedsFromIssuanceOfDebt,,,50000000,25000000,802913000
RepaymentsOfDebt,,,1154033000,73559000,913501000
PaymentsToAcquireMarketableSecuritiesRelatedToDefeasanceOfNotesPayable,,,252571000,,0
PaymentsOfDividendsPreferredStockAndPreferenceStock,,,23496000,23496000,23496000
PaymentsOfDividendsCommonStock,,,30224000,34783000,32664000
PaymentsForRepurchaseOfCommonStock,,,,122618000,54565000
PaymentsOfFinancingCosts,24192000,4615000,25000,14288000,7711000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,5102000,,10567000,4093000,2716000
ProceedsFromMinorityShareholders,29002000,40132000,7893000,11127000,496000
PaymentsToMinorityShareholders,,651000,351005000,13425000,15167000
PaymentsOfDebtExtinguishmentCosts,,,16676000,,8567000
ProceedsFromPaymentsForOtherFinancingActivities,,-137000,-153000,,0
NetCashProvidedByUsedInFinancingActivities,144893000,559531000,-1780704000,-250135000,-254978000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,-79000,-124000,273000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-29622000,-1650000,1054696000,243430000,-201640000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,17118000,46740000,1448692000,393996000,150566000
InterestPaidNet,,,103068000,143451000,142453000
FundingRepaymentsForFinancialAssetsAndLiabilities,,,,,6720000
LeaseOriginationSalesTypeLease,,,,,0
TransferToOtherRealEstate,,,,,0
ContributionOfProperty,,,,,0
CapitalExpendituresIncurredbutNotyetPaidonLandandDevelopmentAssets,,,,,0
TransferToInvestments,,,,,0
CapitalExpendituresIncurredbutNotyetPaidonRealEstateAssets,,,,,7604000
RepaymentofLoanThroughJointVentureConsolidation,,,,,0
ConversionOfStockAmountIssued1,,,,,0
NotesReduction,,,,,0
DebtIssuanceCostsIncurredButNotYetPaid,,,,,115000
ShareRepurchaseAccrued,,,,,200000
TransferMortgagePayable,,,,,0
FinancingOnSaleOfAssets,,,,,0
FairValueOfAssetsAcquired,,,,,0
LiabilitiesAssumed1,,,,,0
IncreaseToNoncontrollingInterestUponConsolidationOfEquityMethodInvestment,,,,,0
FinancingReceivableCreditLossExpenseReversalIncludingDiscontinuedOperations,,,44998000,-9235000,9052000
ProvisionForRecoveryOfLeaseLossesIncludingDiscontinuedOperations,,,,-10872000,1760000
AssetImpairmentChargesTotalIncludingDiscontinuedOperations,,,16600000,2965000,7827000
SalesTypeLeaseNetInvestmentInLeaseNonCashInterestIncome,,,-1748000,-25054000,-24969000
DeferredInterestonLoans,,,8725000,27526000,20661000
IncomeLossFromEquityMethodInvestmentsIncludingDiscontinuedOperations,,,185809000,162467000,42126000
GainLossOnSaleOfPropertiesCashFlowImpact,,,710367000,34794000,6318000
GainLossOnExtinguishmentOfDebtIncludingDiscontinuedOperations,,,-172608000,,-12038000
IncreaseDecreaseInOriginationOfLoanReceivableHeldForSale,,,,-59624000,
IncreaseDecreaseInProceedsFromSaleOfLoansReceivableHeldForSale,,,-43536000,,
PaymentsToAcquireRealEstateAndLeases,,,40273000,42652000,
ProceedsFromSaleOfLoansReceivable,,,128585000,122609000,11000000
ProceedsFromSaleOfOtherInvestments,,,608238000,111429000,
DepreciationAndAmortization,9947000,9936000,9613000,9562000,
NonCashInterestIncomeFromSalesTypeLeases,91855000,83780000,73991000,43808000,
InterestExpenseNoncash,,15070000,13641000,11772000,
AmortizationOfAboveAndBelowMarketLeases,2310000,2306000,2305000,2424000,
GoodwillImpairmentLoss,,145365000,,,
ProvisionForLoanLeaseAndOtherLosses,9489000,2704000,,,
SalesTypeAndDirectFinancingLeasesProfitLoss,,,,1833000,
GainLossOnSaleOfLeasesHeldForInvestment,,447000,55811000,,
ManagementFeeExpense,,5199000,20252000,14865000,
OtherIncomeRecognizedDueToHedgeForecastedForPermanentDebtThatDidNotOccur,,15200000,,,
PaymentstoOriginateAcquireSalesTypeLease,304283000,316755000,1278406000,1247980000,
PaymentsToAcquireBusinessesGross,,88685000,,,
CashAcquiredFromAcquisition,,3213000,,,
ProceedsFundingsOnGroundLeaseReceivables,,297000,-296000,,
ProceedsFromLeasesHeldForInvestment,,4200000,135529000,,
PaymentsForDepositsOnGroundLeaseInvestments,,-1171000,2250000,2083000,
ProceedsFromIssuanceOfCommonStock,0,151940000,309160000,243345000,
ProceedsFromIssuanceOfLongTermDebt,2271584000,577000000,1830000000,1848439000,
RepaymentsOfSecuredDebt,2008000000,150000000,1005000000,830000000,
PaymentsOfDividends,50589000,46039000,42187000,35947000,
PaymentsofOfferingCosts,51000,8099000,5190000,8710000,
InterestExpenseNoncashAccretion,14701000,15070000,13641000,,
ReturnOfFundingOfCollateralOnDebt,19112000,,,,
PaymentsForFundingOfTemporaryCollateralOnDebt,19112000,,,,
ReturnOfDepositsOnGroundLeaseInvestments,2049000,1171000,-2250000,,
PaymentsForDerivativeInstrumentInvestingActivities,,8780000,,,
ProceedsFromDerivativeInstrumentInvestingActivities,11067000,8022000,,,
ProceedsFromSettlementOfTerminatedDerivativesInvestingActivities,32052000,,,,
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,18435000,,,,
PaymentsToMinorityShareholdersDistributions,925000,651000,8549000,,
PaymentsToMinorityShareholdersAcquisitionOfNoncontrollingInterests,48399000,,,,
