key,2024,2023,2022,2021,2020
Revenues,365685000,352578000,12859000,16824000,188722000
InterestExpense,,181011000,98051000,115400000,169574000
CostOfRevenue,,,51614000,45994000,72493000
DepreciationAndAmortization,9947000,9936000,5470000,7072000,58092000
GeneralAndAdministrativeExpense,54917000,68569000,21271000,131703000,100879000
ProvisionForLoanLossesExpensed,,,44998000,-8085000,9052000
ProvisionForLeaseLosses,,,,,1760000
AssetImpairmentCharges,,,15109000,678000,7827000
OtherExpenses,1983000,17862000,8913000,8114000,569000
CostsAndExpenses,278602000,430100000,308867000,472837000,597973000
GainLossOnSaleOfProperties,,,26629000,26319000,6318000
IncomeLossFromContinuingOperationsBeforeIncomeLossFromEquityMethodInvestmentsAndOtherItems,,,-124187000,-137888000,-60706000
GainsLossesOnExtinguishmentOfDebt,,,-131200000,-216000,-12038000
IncomeLossFromEquityMethodInvestments,22977000,24229000,58680000,154344000,42126000
SalesTypeLeaseSellingProfitLoss,,,,,0
VariableInterestEntityInitialConsolidationGainOrLoss,,,,,0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,110060000,-52846000,-196707000,16456000,-30618000
IncomeTaxExpenseBenefit,3445000,1719000,567000,-118000,235000
ProfitLoss,106615000,-54565000,600414000,138026000,-30853000
NetIncomeLossAttributableToNoncontrollingInterest,852000,408000,9261000,234000,11588000
NetIncomeLoss,105763000,-54973000,421288000,132481000,-42441000
PreferredStockDividendsIncomeStatementImpact,,,,,23496000
NetIncomeLossAvailableToCommonStockholdersBasic,,,397792000,108985000,-65937000
EarningsPerShareBasic,1.48,-0.82,4.92,1.51,-0.87
EarningsPerShareDiluted,1.48,-0.82,4.92,1.51,-0.87
WeightedAverageNumberOfSharesOutstandingBasic,71370000,66690000,80722000,71831000,75684000
WeightedAverageNumberOfDilutedSharesOutstanding,71451000,66690000,80722000,71831000,75684000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,-197274000,16574000,-116308000
IncomeLossFromDiscontinuedOperationsNetOfTax,,,797688000,121452000,85455000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,,37000,-75000,337000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,179089000,5620000,11251000
PreferredStockDividendsAndOtherAdjustments,,,23496000,23496000,23496000
IncomeLossFromContinuingOperationsPerBasicShare,,,-2.74,-0.10,-1.85
IncomeLossFromContinuingOperationsPerDilutedShare,,,-2.74,-0.10,-1.85
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,,,7.66,1.61,0.98
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,7.66,1.61,0.98
SalesTypeLeaseInterestIncome,264250000,235503000,202258000,118824000,
OperatingLeaseLeaseIncome,71061000,71287000,66817000,67667000,
InterestIncomeOperating,9482000,7143000,,,
OtherIncome,20892000,38645000,1238000,523000,
CostOfGoodsAndServicesSold,4224000,4653000,3110000,2663000,
GoodwillImpairmentLoss,,145365000,,,
ProvisionForLoanLeaseAndOtherLosses,9489000,2704000,,,
GainLossOnSaleOfLeasesHeldForInvestment,,447000,55811000,,
OperatingIncomeLoss,87083000,-77075000,135629000,65461000,
SalesTypeAndDirectFinancingLeasesProfitLoss,,,,1833000,
InterestExpenseOperating,198042000,181011000,128969000,,
