key,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLoss,3341658000,3255195000,,3139831000,-351000
GroundLeaseReceivableNet,1867000000,1603000000,,1431478000,-199000
RealEstateInvestmentPropertyAtCost,743423000,744337000,,,
RealEstateInvestmentPropertyAccumulatedDepreciation,41907000,40400000,,,
RealEstateInvestmentPropertyNet,701516000,703937000,,,
FiniteLivedIntangibleAssetsNet,703000,705000,,,
RealEstateHeldforsale,10625000,9711000,,,
RealEstateInvestmentPropertyIncludingFiniteLivedIntangibleAssetsNet,924798000,924761000,,,
NotesReceivableNet,114000000,114000000,,,
EquityMethodInvestments,56134000,49179000,,,
Goodwill,,,,145365000,
CashAndCashEquivalentsAtCarryingValue,11000000,19000000,,20335000,
RestrictedCash,28000000,28000000,,27954000,
DeferredIncomeTaxAssetsNet,6744000,7619000,6300000,6292000,
DeferredRentReceivablesNet,187750000,180032000,,,
DeferredCostsAndOtherAssets,6600000,7100000,,,
Assets,74500000,6548314000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,118593000,134518000,,,
BelowMarketLeaseNet,63546000,63755000,,,
LongTermDebt,2671001000,3491000000,,,
Liabilities,30000000.0,4252638000,,,
CommitmentsAndContingencies,,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,19011000,19011000,,19011000,19011000
CommonStockValue,714000,711000,,,
AdditionalPaidInCapital,2190671000,2184299000,,,
RetainedEarningsAccumulatedDeficit,65630000,47580000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,26458000,-1337000,,,
StockholdersEquity,2283473000,2231253000,,,
MinorityInterest,46038000,45412000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,46038000,45412000,,2179127000,-640000
LiabilitiesAndStockholdersEquity,6673539000,6548314000,,,
