key,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
ProfitLoss,31029000,,,4716000,
DepreciationAndAmortization,2487000,,,2398000,
ShareBasedCompensation,4765000,,,4680000,
StraightLineRent,7718000,,,7827000,
NonCashInterestIncomeFromSalesTypeLeases,21857000,,,20380000,
InterestExpenseNoncash,2878000,,,3026000,
AmortizationOfAboveAndBelowMarketLeases,577000,,,576000,
GoodwillImpairmentLoss,,145365000,,,
ProvisionForLoanLeaseAndOtherLosses,709000,,,2242000,
IncomeLossFromEquityMethodInvestments,3719000,,,1427000,
EquityMethodInvestmentDividendsOrDistributions,3647000,,,547000,
AmortizationOfFinancingCostsAndDiscounts,1862000,,,1796000,
ManagementFeeExpense,,,,5200000,
OtherOperatingActivitiesCashFlowStatement,-1877000,,,1573000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1992000,,,3586000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-10662000,,,489000,
NetCashProvidedByUsedInOperatingActivities,-3064000,,,-6813000,
PaymentstoOriginateAcquireSalesTypeLease,79201000,,,69904000,
PaymentsToAcquireNotesReceivable,,,,114450000,
PaymentsToAcquireBusinessesGross,,,,88685000,
CashAcquiredFromAcquisition,,,,3213000,
PaymentsToAcquireEquityMethodInvestments,9192000,,,140000,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,19465000,,,,
ProceedsFundingsOnGroundLeaseReceivables,,,,218000,
PaymentsForFundingOfTemporaryCollateralOnDebt,19112000,,,,
ProceedsFromDerivativeInstrumentInvestingActivities,9687000,,,,
PaymentsForProceedsFromOtherInvestingActivities,-3650000,,,-251000,
NetCashProvidedByUsedInInvestingActivities,-74703000,,,-269933000,
ProceedsFromIssuanceOfLongTermDebt,416871000,,,280000000,
RepaymentsOfSecuredDebt,326000000,,,0,
PaymentsOfFinancingCosts,4281000,,,4610000,
PaymentsOfDividends,12572000,,,22144000,
PaymentsofOfferingCosts,51000,,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,3594000,,,,
PaymentsToMinorityShareholders,171000,,,515000,
ProceedsFromMinorityShareholders,,,,23914000,
NetCashProvidedByUsedInFinancingActivities,70202000,,,276645000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-7565000,,,-101000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,39175000,46740000,,48289000,48390000
