key,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
SalesTypeLeaseInterestIncome,21021000,,,17958000,
OperatingLeaseLeaseIncome,4600000,,,3700000,
InterestIncomeOperating,2400000,,,,
OtherIncome,5500000,,,366000,
Revenues,93213000,,,78329000,
InterestExpense,48631000,,,40873000,
CostOfGoodsAndServicesSold,1079000,,,1206000,
DepreciationAndAmortization,2487000,,,2398000,
GeneralAndAdministrativeExpense,15628000,,,8300000,
GoodwillImpairmentLoss,,145365000,,,
ProvisionForLoanLeaseAndOtherLosses,709000,,,2242000,
OtherExpenses,91000,,,14089000,
CostsAndExpenses,68625000,,,75875000,
OperatingIncomeLoss,24588000,,,2454000,
IncomeLossFromEquityMethodInvestments,3719000,,,1427000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,31500000,,,4716000,
IncomeTaxExpenseBenefit,471000,,,,
ProfitLoss,31029000,,,4716000,
NetIncomeLossAttributableToNoncontrollingInterest,301000,,,34000,
NetIncomeLoss,30728000,,,4682000,
EarningsPerShareBasic,0.43,,,0.07,
EarningsPerShareDiluted,0.43,,,0.07,
WeightedAverageNumberOfSharesOutstandingBasic,71170000,,,63672000,
WeightedAverageNumberOfDilutedSharesOutstanding,71240000,,,63672000,
