key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLoss,16500000,,16400000,3167964000,,-351000
GroundLeaseReceivableNet,1910000000,,1603000000,1484948000,,-199000
RealEstateInvestmentPropertyAtCost,740971000,,744337000,,,
RealEstateInvestmentPropertyAccumulatedDepreciation,43414000,,40400000,,,
RealEstateInvestmentPropertyNet,697557000,,703937000,,,
FiniteLivedIntangibleAssetsNet,701000,,705000,,,
RealEstateHeldforsale,9654000,,9711000,,,
RealEstateInvestmentPropertyIncludingFiniteLivedIntangibleAssetsNet,918199000,,924761000,,,
NotesReceivableNet,114000000,,114000000,,,
EquityMethodInvestments,21951000,,49179000,,,
Goodwill,,,,,145365000,
CashAndCashEquivalentsAtCarryingValue,13000000,,19000000,14281000,,
RestrictedCash,9000000,,28000000,28144000,,
DeferredIncomeTaxAssetsNet,6607000,,7619000,6300000,6292000,
DeferredRentReceivablesNet,195444000,,180032000,,,
DeferredCostsAndOtherAssets,5200000,,7100000,,,
Assets,75200000,,6548314000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,132582000,,134518000,,,
BelowMarketLeaseNet,63338000,,63755000,,,
LongTermDebt,2718536000,,3491000000,,,
Liabilities,30000000.0,,4252638000,,,
CommitmentsAndContingencies,,,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,,19011000,19011000,19011000,19011000,19011000
CommonStockValue,714000,,711000,,,
AdditionalPaidInCapital,2191354000,,2184299000,,,
RetainedEarningsAccumulatedDeficit,82597000,,47580000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,38239000,,-1337000,,,
StockholdersEquity,2312904000,,2231253000,,,
MinorityInterest,69555000,,45412000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,69555000,2329511000,45412000,2233742000,2179127000,-640000
LiabilitiesAndStockholdersEquity,6768966000,,6548314000,,,
