key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
SalesTypeLeaseInterestIncome,43384000,,,36595000,,
OperatingLeaseLeaseIncome,4800000,,,4000000.0,,
InterestIncomeOperating,4700000,,,2400000,,
OtherIncome,9900000,,,7200000,,
Revenues,183108000,,,163990000,,
InterestExpense,97738000,,,86929000,,
CostOfGoodsAndServicesSold,2120000,,,2218000,,
DepreciationAndAmortization,4977000,,,4925000,,
GeneralAndAdministrativeExpense,27904000,,,8300000,,
GoodwillImpairmentLoss,,,145365000,,,
ProvisionForLoanLeaseAndOtherLosses,1335000,,,2289000,,
OtherExpenses,450000,,,15363000,,
CostsAndExpenses,134524000,,,145707000,,
OperatingIncomeLoss,48584000,,,18283000,,
IncomeLossFromEquityMethodInvestments,7462000,,,2827000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,61965000,,,27352000,,
IncomeTaxExpenseBenefit,1381000,,,525000,,
ProfitLoss,60584000,,,26827000,,
NetIncomeLossAttributableToNoncontrollingInterest,191000,,,15000,,
NetIncomeLoss,60393000,,,26812000,,
EarningsPerShareBasic,0.85,,,0.42,,
EarningsPerShareDiluted,0.85,,,0.42,,
WeightedAverageNumberOfSharesOutstandingBasic,71303000,,,63809000,,
WeightedAverageNumberOfDilutedSharesOutstanding,71351000,,,63809000,,
