key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLoss,3818000000,,3118000000,3182592000,,,-351000
GroundLeaseReceivableNet,2069000000,,1603000000,1563670000,,,-199000
RealEstateInvestmentPropertyAtCost,740971000,,744337000,,,,
RealEstateInvestmentPropertyAccumulatedDepreciation,44921000,,40400000,,,,
RealEstateInvestmentPropertyNet,696050000,,703937000,,,,
FiniteLivedIntangibleAssetsNet,699000,,705000,,,,
RealEstateHeldforsale,7779000,,9711000,,,,
RealEstateInvestmentPropertyIncludingFiniteLivedIntangibleAssetsNet,914228000,,924761000,,,,
NotesReceivableNet,115000000,,114000000,,,,
EquityMethodInvestments,23181000,,49179000,,,,
Goodwill,,,,,,145365000,
CashAndCashEquivalentsAtCarryingValue,16000000,,19000000,11483000,,,
RestrictedCash,9000000,,28000000,27978000,,,
DeferredIncomeTaxAssetsNet,6706000,,7619000,,6300000,6292000,
DeferredRentReceivablesNet,203120000,,180032000,,,,
DeferredCostsAndOtherAssets,4300000,,7100000,,,,
Assets,75800000,,6548314000,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,138601000,,134518000,,,,
BelowMarketLeaseNet,63130000,,63755000,,,,
LongTermDebt,2823976000,,3491000000,,,,
Liabilities,30100000,,4252638000,,,,
CommitmentsAndContingencies,,,,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,,,19011000,19011000,19011000,,19011000
CommonStockValue,714000,,711000,,,,
AdditionalPaidInCapital,2190240000,,2184299000,,,,
RetainedEarningsAccumulatedDeficit,89175000,,47580000,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,7691000,,-1337000,,,,
StockholdersEquity,2287820000,,2231253000,,,,
MinorityInterest,29696000,,45412000,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,29696000,2382459000,45412000,2299404000,2233742000,,-640000
LiabilitiesAndStockholdersEquity,6814920000,,6548314000,,,,
