key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
ProfitLoss,80537000,,,-96019000,,,
DepreciationAndAmortization,7461000,,,7444000,,,
ShareBasedCompensation,10125000,,,20127000,,,
StraightLineRent,23088000,,,23415000,,,
NonCashInterestIncomeFromSalesTypeLeases,67659000,,,62139000,,,
InterestExpenseNoncash,9996000,,,10216000,,,
AmortizationOfAboveAndBelowMarketLeases,1732000,,,1729000,,,
GoodwillImpairmentLoss,,,145365000,145400000,,,
ProvisionForLoanLeaseAndOtherLosses,8447000,,,2625000,,,
IncomeLossFromEquityMethodInvestments,9649000,,,6109000,,,
EquityMethodInvestmentDividendsOrDistributions,11308000,,,4591000,,,
AmortizationOfFinancingCostsAndDiscounts,5474000,,,5454000,,,
ManagementFeeExpense,,,,5200000,,,
OtherOperatingActivitiesCashFlowStatement,-5798000,,,408000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-4594000,,,168000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,4948000,,,-12568000,,,
NetCashProvidedByUsedInOperatingActivities,29957000,,,-7671000,,,
PaymentsToAcquireRealEstate,,,,10817000,,,
PaymentstoOriginateAcquireSalesTypeLease,258042000,,,203364000,,,
PaymentsToAcquireNotesReceivable,,,,114450000,,,
PaymentsToAcquireBusinessesGross,,,,88685000,,88685000,
CashAcquiredFromAcquisition,,,,3213000,,,
PaymentsToAcquireEquityMethodInvestments,9621000,,,33560000,,,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,52425000,,,,,,
ProceedsFundingsOnGroundLeaseReceivables,,,,218000,,,
ReturnOfFundingOfCollateralOnDebt,19112000,,,,,,
PaymentsForFundingOfTemporaryCollateralOnDebt,19112000,,,,,,
ProceedsFromSaleOfRealEstateHeldforinvestment,5143000,,,1631000,,,
ReturnOfDepositsOnGroundLeaseInvestments,2021000,,,-112000,,,
ProceedsFromDerivativeInstrumentInvestingActivities,9687000,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,-7490000,,,3588000,,,
NetCashProvidedByUsedInInvestingActivities,-190897000,,,-449950000,,,
ProceedsFromIssuanceOfCommonStock,,,,151940000,,,
ProceedsFromIssuanceOfLongTermDebt,1090336000,,,458000000,,,
RepaymentsOfSecuredDebt,850000000,,,145000000,,,
PaymentsOfFinancingCosts,20394000,,,4618000,,,
PaymentsOfDividends,37947000,,,33459000,,,
PaymentsofOfferingCosts,51000,,,8071000,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,5063000,,,,,,
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,18435000,,,,,,
PaymentsToMinorityShareholdersDistributions,762000,,,538000,,,
PaymentsToMinorityShareholdersAcquisitionOfNoncontrollingInterests,48124000,,,,,,
ProceedsFromMinorityShareholders,28902000,,,30439000,,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,-1000,,,
NetCashProvidedByUsedInFinancingActivities,138462000,,,448692000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-22478000,,,-8929000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,24262000,,46740000,39461000,,,48390000
