key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
SalesTypeLeaseInterestIncome,2700000,,,55934000,,,
OperatingLeaseLeaseIncome,5000000.0,,,4200000,,,
InterestIncomeOperating,7100000,,,4800000,,,
OtherIncome,13600000,,,13200000,,,
Revenues,273813000,,,249551000,,,
InterestExpense,147699000,,,133482000,,,
CostOfGoodsAndServicesSold,3167000,,,3219000,,,
DepreciationAndAmortization,7461000,,,7444000,,,
GeneralAndAdministrativeExpense,41020000,,,8300000,,,
GoodwillImpairmentLoss,,,145365000,145400000,,,
ProvisionForLoanLeaseAndOtherLosses,8447000,,,2625000,,,
OtherExpenses,1561000,,,17532000,,,
CostsAndExpenses,209355000,,,361510000,,,
OperatingIncomeLoss,64458000,,,-111959000,,,
IncomeLossFromEquityMethodInvestments,9649000,,,6109000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,82578000,,,-95439000,,,
IncomeTaxExpenseBenefit,2041000,,,580000,,,
ProfitLoss,80537000,,,-96019000,,,
NetIncomeLossAttributableToNoncontrollingInterest,813000,,,138000,,,
NetIncomeLoss,79724000,,,-96157000,,,
EarningsPerShareBasic,1.12,,,-1.47,,,
EarningsPerShareDiluted,1.12,,,-1.47,,,
WeightedAverageNumberOfSharesOutstandingBasic,71347000,,,65214000,,,
WeightedAverageNumberOfDilutedSharesOutstanding,71414000,,,65214000,,,
