key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
SalesTypeLeaseNetInvestmentInLeaseAfterAllowanceForCreditLoss,3525000000,3680000000,3341658000,3255195000
GroundLeaseReceivableNet,1964000000,2043000000,1661063000,1622298000
RealEstateInvestmentPropertyAtCost,740971000,740971000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,47935000,46428000,,
RealEstateInvestmentPropertyNet,693036000,694543000,,
FiniteLivedIntangibleAssetsNet,696000,698000,,
RealEstateHeldforsale,5894000,7233000,,
RealEstateInvestmentPropertyIncludingFiniteLivedIntangibleAssetsNet,906280000,910507000,,
NotesReceivableNet,114000000,115000000,,
EquityMethodInvestments,18863000,25009000,,
CashAndCashEquivalentsAtCarryingValue,17000000,8000000,11284000,
RestrictedCash,9000000,9000000,27891000,
DeferredIncomeTaxAssetsNet,4345000,5222000,,
DeferredRentReceivablesNet,218388000,210773000,,
DeferredCostsAndOtherAssets,3700000,3800000,,
Assets,77100000,6899379000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,143981000,144991000,,
BelowMarketLeaseNet,62714000,62922000,,
LongTermDebt,2869415000,3686000000,,
Liabilities,30100000,4525352000,,
CommitmentsAndContingencies,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,,,19011000,19011000
CommonStockValue,717000,714000,,
AdditionalPaidInCapital,2195721000,2191840000,,
RetainedEarningsAccumulatedDeficit,119034000,102472000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,35360000,48992000,,
StockholdersEquity,2350832000,2344018000,,
MinorityInterest,30344000,30009000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,30344000,30009000,2329511000,2276665000
LiabilitiesAndStockholdersEquity,6929355000,6899379000,,
