key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,29410000,,31029000,
DepreciationAndAmortization,2196000,,2487000,
ShareBasedCompensation,3487000,,4765000,
StraightLineRent,7615000,,7718000,
NonCashInterestIncomeFromSalesTypeLeases,24389000,,21857000,
InterestExpenseNoncashAccretion,2721000,,2878000,
AmortizationOfAboveAndBelowMarketLeases,578000,,577000,
PreferredEquityInvestmentWriteoff,1900000,,,
ProvisionForLoanLeaseAndOtherLosses,2296000,,709000,
IncomeLossFromEquityMethodInvestments,2192000,,3719000,
EquityMethodInvestmentDividendsOrDistributions,3215000,,3647000,
AmortizationOfFinancingCostsAndDiscounts,2051000,,1862000,
ManagementFeeExpense,15000000,,25000000,
OtherOperatingActivitiesCashFlowStatement,-723000,,-1877000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2770000,,1992000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,1491000,,-10662000,
NetCashProvidedByUsedInOperatingActivities,8901000,,-3064000,
PaymentstoOriginateAcquireSalesTypeLease,16129000,,79201000,
PaymentsToAcquireEquityMethodInvestments,3675000,,9192000,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,9528000,,19465000,
PaymentsForFundingOfTemporaryCollateralOnDebt,,,19112000,
ProceedsFromSaleOfRealEstateHeldforinvestment,1209000,,,
ProceedsFromDerivativeInstrumentInvestingActivities,1677000,,2957000,
ProceedsFromSettlementOfTerminatedDerivativesInvestingActivities,,,9687000,
PaymentsForProceedsFromOtherInvestingActivities,-389000,,-693000,
NetCashProvidedByUsedInInvestingActivities,-7001000,,-74703000,
ProceedsFromIssuanceOfLongTermDebt,216000000,,416871000,
RepaymentsOfSecuredDebt,193000000,,326000000,
PaymentsOfFinancingCosts,441000,,4281000,
PaymentsOfDividends,12651000,,12572000,
PaymentsofOfferingCosts,,,51000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2794000,,3594000,
PaymentsForRedemptionOfNoncontrollingInterest,125000,,,
PaymentsToMinorityShareholdersDistributions,24000,,171000,
NetCashProvidedByUsedInFinancingActivities,6965000,,70202000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,8865000,,-7565000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,25983000,17118000,39175000,46740000
