key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
SalesTypeLeaseInterestIncome,1700000,,21021000,
OperatingLeaseLeaseIncome,4900000,,4600000,
InterestIncomeOperating,2300000,,2400000,
OtherIncome,3600000,,5500000,
Revenues,97677000,,93213000,
InterestExpenseOperating,50426000,,48631000,
CostOfGoodsAndServicesSold,1158000,,1079000,
DepreciationAndAmortization,2196000,,2487000,
GeneralAndAdministrativeExpense,14132000,,15628000,
ProvisionForLoanLeaseAndOtherLosses,2296000,,709000,
OtherExpenses,2168000,,91000,
CostsAndExpenses,72376000,,68625000,
OperatingIncomeLoss,25301000,,24588000,
IncomeLossFromEquityMethodInvestments,2192000,,3719000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,30293000,,31500000,
IncomeTaxExpenseBenefit,883000,,471000,
ProfitLoss,29410000,,31029000,
NetIncomeLossAttributableToNoncontrollingInterest,46000,,301000,
NetIncomeLoss,29364000,,30728000,
EarningsPerShareBasic,0.41,,0.43,
EarningsPerShareDiluted,0.41,,0.43,
WeightedAverageNumberOfSharesOutstandingBasic,71521000,,71170000,
WeightedAverageNumberOfDilutedSharesOutstanding,71635000,,71240000,
