key,2024,2023,2022,2021,2020
Land,771794000,698633000,647098000,617297000,492783000
RealEstateInvestmentPropertyAccumulatedDepreciation,,,,,495348000
InvestmentBuildingAndBuildingImprovements,5295120000,4838522000,4706745000,4435743000,3532608000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,258005000
IntangibleAssetsNetExcludingGoodwill,428865000,435722000,508935000,567658000,499802000
RealEstateInvestmentPropertyNet,6495779000,5972877000,5862778000,5620698000,4525193000
CashAndCashEquivalentsAtCarryingValue,36284000,20741000,25884000,18981000,15666000
RestrictedCashAndCashEquivalents,1109000,1127000,905000,4215000,4673000
AccountsReceivableNet,136357000,128274000,115509000,93600000,77796000
PrepaidExpenseAndOtherAssets,96189000,80455000,71733000,60953000,43471000
DerivativeAssets,36466000,50418000,72223000,5220000,0
OperatingLeaseRightOfUseAsset,31151000,29566000,31313000,29582000,25403000
RealEstateHeldforsale,,0,4643000,0,444000
Assets,6833335000,6283458000,6184988000,5833249000,4692646000
LineOfCredit,409000000,402000000,175000000,296000000,107000000
LoansPayable,1021848000,1021773000,1020440000,970577000,971111000
NotesPayable,1594092000,1195872000,1295442000,896941000,573281000
SecuredDebt,4195000,4401000,7898000,54744000,51898000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,126811000,83152000,97371000,76475000,69765000
DerivativeLiabilities,,,0,17052000,40656000
CustomerAdvancesAndDeposits,56173000,44238000,40847000,37138000,27844000
DividendsPayableCurrentAndNoncurrent,23469000,22726000,22282000,21906000,19379000
BelowMarketLeaseAccumulatedAmortization,,,,,15759000
BelowMarketLeaseNet,33335000,29908000,32427000,35721000,32762000
OperatingLeaseLiability,35304000,33577000,35100000,33108000,27898000
Liabilities,3304227000,2837647000,2726807000,2439662000,1921594000
PreferredStockSharesAuthorized,,,,,20000000
PreferredStockValue,0,0,0,0,75000000
CommonStockValue,1865000,1817000,1792000,1777000,1582000
AdditionalPaidInCapital,4449964000,4272376000,4188677000,4130038000,3421721000
RetainedEarningsAccumulatedDeficit,-1029757000,-948720000,-876145000,-792332000,-742071000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,35579000,49207000,70500000,-11783000,-40025000
StockholdersEquity,3457651000,3374680000,3384824000,3327700000,2716207000
MinorityInterest,,71131000,73357000,65887000,54845000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3529108000,3445811000,3458181000,3393587000,2771052000
LiabilitiesAndStockholdersEquity,6833335000,6283458000,6184988000,5833249000,4692646000
PreferredStockParOrStatedValuePerShare,,,,,0.01
PreferredStockSharesIssued,,,,,3000000
PreferredStockLiquidationPreference,,,,,25.00
CommonStockSharesOutstanding,,,,,158209823
CommonStockParOrStatedValuePerShare,,,,,0.01
CommonStockSharesAuthorized,,,,,300000000
MinorityInterestInOperatingPartnerships,69932000,71131000,,,
MinorityInterestInJointVentures,1525000,0,,,
