key,2024,2023,2022,2021,2020
ProfitLoss,193266000,197201000,182234000,196432000,206795000
DepreciationDepletionAndAmortization,293077000,278447000,275040000,238699000,214738000
AssetImpairmentCharges,4967000,0,1783000,0,5577000
GainLossonInvoluntaryConversion,11843000,0,0,0,2157000
PaidInKindInterest,4506000,3905000,3747000,2931000,2922000
AmortizationOfAboveAndBelowMarketLeases,-602000,-887000,-352000,2051000,4341000
StraightLineRent,14447000,16648000,17610000,17516000,12074000
RestrictedStockAwardForfeituresDividends,,,,,0
GainsLossesOnExtinguishmentOfDebt,,,,,-834000
GainLossOnSaleOfPropertyPlantEquipment,32273000,54100000,57487000,97980000,135733000
ShareBasedCompensation,11740000,11486000,12068000,14955000,11681000
IncreaseDecreaseInAccountsReceivable,-4607000,-1915000,6438000,36000,4482000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,27425000,23870000,21870000,18664000,11528000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,22748000,-9237000,13531000,6763000,7157000
IncreaseDecreaseInCustomerAdvancesAndDeposits,11935000,2880000,3264000,8270000,5851000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,267026000,193891000,205697000,139722000,87127000
NetCashProvidedByUsedInOperatingActivities,460292000,391092000,387931000,336154000,293922000
PaymentsToAcquireCommercialRealEstate,624722000,303991000,421784000,1211023000,661961000
PaymentsForCapitalImprovements,150445000,107856000,111653000,39503000,55741000
PaymentsToAcquireOtherReceivables,243000,0,2134000,1004000,450000
PaymentToAcquireOperatingLeaseRightOfUseAssets,3554000,0,3541000,5627000,3984000
ProceedsFromSaleOfBuildings,126479000,105602000,135348000,187972000,273560000
ProceedsFromInsuranceSettlementInvestingActivities,,,0,0,782000
PaymentsForProceedsFromOtherInvestingActivities,0,-511000,-445000,-1024000,0
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,450000,-3850000,-1428000,3131000,-27000
PaymentsToAcquireIntangibleAssets,81677000,18462000,49174000,154755000,110840000
AcquisitionOfOperatingLeaseLiabilities,3554000,0,3541000,5627000,3984000
NetCashProvidedByUsedInInvestingActivities,-731058000,-320346000,-447524000,-1220420000,-554623000
ProceedsFromUnsecuredLinesOfCredit,1976000000,1167000000,1288000000,2665000000,914000000
RepaymentsOfLinesOfCredit,1969000000,940000000,1409000000,2476000000,953000000
ProceedsFromIssuanceOfOtherLongTermDebt,0,0,375000000,1125000000,400000000
RepaymentsOfOtherLongTermDebt,0,100000000,325000000,1125000000,300000000
ProceedsFromUnsecuredNotesPayable,450000000,0,400000000,325000000,0
RepaymentsOfSecuredDebt,215000,3503000,46943000,2225000,2983000
PaymentsForRepurchaseOfRedeemablePreferredStock,,0,0,75000000,0
PaymentsOfFinancingCosts,12456000,270000,5211000,9579000,1129000
PaymentsOfDebtExtinguishmentCosts,,,0,0,425000
PaymentsOfDividends,274920000,267567000,266817000,245722000,224283000
ProceedsFromIssuanceOfCommonStock,167278000,69485000,54753000,706991000,438499000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1047000,812000,1596000,1342000,1503000
NetCashProvidedByUsedInFinancingActivities,286291000,-75667000,63186000,887123000,269176000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,15525000,-4921000,3593000,2857000,8475000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,37393000,21868000,26789000,23196000,20339000
InterestPaidNet,108817000,89979000,72740000,58392000,58704000
ContributionOfProperty,0,0,2674000,465000,674000
EscrowDepositDisbursementsRelatedToPropertyAcquisition1,0,0,2674000,465000,674000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,3330000,66000,0,5990000,2202000
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,357000,6000,0,948000,362000
CapitalExpendituresIncurredButNotYetPaid,19126000,-2836000,7897000,1285000,3714000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,205000,92000,62000,9000,25000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,563000,30000,192000,930000,1065000
PreferredSharesCalledForRedemptionAndReclassifiedToLiabilities,,,,,0
LeasesCumulativeEffectAdjustment,,,,,0
DividendsPayableCurrentAndNoncurrent,23469000,22726000,22282000,21906000,19379000
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,-36000,0,-21000,-249000,-834000
NoncashOrPartNoncashAcquisitionDebtAssumed1,,0,0,5103000,0
NotesAssumed1,,0,0,161000,0
RepaymentsOfUnsecuredDebt,50000000,100000000,0,0,
InterestPaidCapitalized,2268000,2600000,1456000,53000,
PartialDisposalofBuildingDuetoInvoluntaryConversion,0,2968000,0,0,
InvestingOtherReceivablesDuetoInvoluntaryConversion,-2968000,2968000,0,0,
ProceedsFromPaymentsToMinorityShareholders,651000,0,0,,
AdditionsToBuildingAndOtherCapitalImprovementsFromInvoluntaryConversion,14810000,0,0,,
NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,874000,0,0,,
