key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,762892000,705160000,654377000,559432000,482825000
OtherOperatingIncome,4492000,2675000,2968000,2727000,586000
Revenues,767384000,707835000,657345000,562159000,483411000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,154828000,139596000,125701000,107986000,89359000
GeneralAndAdministrativeExpense,49202000,47491000,46958000,48629000,40072000
DepreciationAndAmortization,293077000,278447000,275040000,238699000,214738000
AssetImpairmentCharges,4967000,0,1783000,0,5577000
OtherExpenses,2332000,4693000,4363000,2878000,2029000
CostsAndExpenses,504406000,470227000,453845000,398192000,351775000
InterestAndOtherIncome,44000,68000,103000,121000,446000
InterestExpense,113169000,94575000,78018000,63484000,62343000
GainsLossesOnExtinguishmentOfDebt,-703000,0,-838000,-2152000,-834000
OtherNonrecurringGain,11843000,0,0,0,2157000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,32273000,54100000,57487000,97980000,135733000
NonoperatingIncomeExpense,-69712000,-40407000,-21266000,32465000,75159000
ProfitLoss,193266000,197201000,182234000,196432000,206795000
NetIncomeLossAttributableToNoncontrollingInterest,4046000,4356000,3908000,4098000,4648000
NetIncomeLoss,189220000,192845000,178326000,192334000,202147000
PreferredStockDividendsIncomeStatementImpact,,0,0,1289000,5156000
PreferredStockRedemptionPremium,,0,0,2582000,0
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,182000,212000,237000,288000,271000
NetIncomeLossAvailableToCommonStockholdersBasic,189038000,192633000,178089000,188175000,196720000
WeightedAverageNumberOfSharesOutstandingBasic,182160000,180221000,178753000,163442000,148791000
WeightedAverageNumberOfDilutedSharesOutstanding,182404000,180555000,178940000,164090000,149215000
IncomeLossFromContinuingOperationsPerBasicShare,1.04,1.07,1.00,1.15,1.32
IncomeLossFromContinuingOperationsPerDilutedShare,1.04,1.07,1.00,1.15,1.32
