key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
Land,700199000,698633000,,
InvestmentBuildingAndBuildingImprovements,4859117000,4838522000,,
IntangibleAssetsNetExcludingGoodwill,422153000,435722000,,
RealEstateInvestmentPropertyNet,5981469000,5972877000,,
CashAndCashEquivalentsAtCarryingValue,12423000,20741000,,
RestrictedCashAndCashEquivalents,667000,1127000,,
AccountsReceivableNet,128797000,128274000,,
PrepaidExpenseAndOtherAssets,84087000,80455000,,
DerivativeAssets,57532000,50418000,,
OperatingLeaseRightOfUseAsset,29085000,29566000,,
Assets,6294060000,6283458000,,
LineOfCredit,435000000,402000000,,
LoansPayable,1020837000,1021773000,,
NotesPayable,1195941000,1195872000,,
SecuredDebt,4350000,4401000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,80489000,83152000,,
DerivativeLiabilities,47000,0,,
CustomerAdvancesAndDeposits,45795000,44238000,,
DividendsPayableCurrentAndNoncurrent,22936000,22726000,22484000,
BelowMarketLeaseNet,32312000,29908000,,
OperatingLeaseLiability,33133000,33577000,,
Liabilities,2870840000,2837647000,,
CommitmentsAndContingencies,,,,
PreferredStockValue,0,0,,
CommonStockValue,1821000,1817000,,
AdditionalPaidInCapital,4273183000,4272376000,,
RetainedEarningsAccumulatedDeficit,-979629000,-948720000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,56127000,49207000,,
StockholdersEquity,3351502000,3374680000,,
MinorityInterest,71718000,71131000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,71718000,71131000,3430820000,3458181000
LiabilitiesAndStockholdersEquity,6294060000,6283458000,,
