key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
ProfitLoss,826000,,1142000,
DepreciationDepletionAndAmortization,71427000,,68944000,
PaidInKindInterest,984000,,976000,
AmortizationOfAboveAndBelowMarketLeases,-303000,,-129000,
StraightLineRent,2762000,,5044000,
GainLossOnSaleOfPropertyPlantEquipment,0,,20128000,
ShareBasedCompensation,2909000,,3092000,
IncreaseDecreaseInAccountsReceivable,-2204000,,-2694000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,8787000,,11288000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,480000,,-6599000,
IncreaseDecreaseInCustomerAdvancesAndDeposits,1557000,,3295000,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,67709000,,35813000,
NetCashProvidedByUsedInOperatingActivities,105162000,,86421000,
PaymentsToAcquireCommercialRealEstate,43599000,,0,
PaymentsForCapitalImprovements,24622000,,27685000,
ProceedsFromSaleOfBuildings,0,,36333000,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,2324000,,-1185000,
PaymentsToAcquireIntangibleAssets,5715000,,0,
NetCashProvidedByUsedInInvestingActivities,-76260000,,9833000,
ProceedsFromUnsecuredLinesOfCredit,264000000,,209000000,
RepaymentsOfLinesOfCredit,231000000,,149000000,
RepaymentsOfNotesPayable,0,,100000000,
RepaymentsOfSecuredDebt,53000,,86000,
PaymentsOfFinancingCosts,822000,,0,
PaymentsOfStockIssuanceCosts,137000,,76000,
PaymentsOfDividends,68654000,,63896000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1014000,,812000,
NetCashProvidedByUsedInFinancingActivities,-37680000,,-104870000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-8778000,,-8616000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,13090000,21868000,18173000,26789000
InterestPaidCapitalized,802000,,433000,
InterestPaidNet,22165000,,18597000,
AcquisitionsOfLandAndBuildingsAndImprovements,671000,,0,
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,88000,,0,
AdditionsToBuildingAndOtherCapitalImprovementsFromInvoluntaryConversion,-2968000,,0,
InvestingOtherReceivablesDuetoInvoluntaryConversion,-2968000,,0,
CapitalExpendituresIncurredButNotYetPaid,4443000,,-4596000,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,39000,,13000,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,592000,,76000,
DividendsPayableCurrentAndNoncurrent,22936000,22726000,22484000,
