key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
Land,716613000,,698633000,,,
InvestmentBuildingAndBuildingImprovements,4982291000,,4838522000,,,
IntangibleAssetsNetExcludingGoodwill,421560000,,435722000,,,
RealEstateInvestmentPropertyNet,52620000,,5972877000,,,
CashAndCashEquivalentsAtCarryingValue,33273000,,20741000,,,
RestrictedCashAndCashEquivalents,1247000,,1127000,,,
AccountsReceivableNet,125172000,,128274000,,,
PrepaidExpenseAndOtherAssets,80855000,,80455000,,,
DerivativeAssets,54510000,,50418000,,,
OperatingLeaseRightOfUseAsset,28598000,,29566000,,,
Assets,6444119000,,6283458000,,,
LineOfCredit,127000000,,402000000,,,
LoansPayable,1021175000,,1021773000,,,
NotesPayable,1643538000,,1195872000,,,
SecuredDebt,4299000,,4401000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,98828000,,83152000,,,
CustomerAdvancesAndDeposits,44876000,,44238000,,,
DividendsPayableCurrentAndNoncurrent,22936000,,22726000,22515000,,
BelowMarketLeaseNet,33454000,,29908000,,,
OperatingLeaseLiability,32683000,,33577000,,,
Liabilities,3028789000,,2837647000,,,
CommitmentsAndContingencies,,,,,,
PreferredStockValue,0,,0,,,
CommonStockValue,1821000,,1817000,,,
AdditionalPaidInCapital,4276498000,,4272376000,,,
RetainedEarningsAccumulatedDeficit,-987218000,,-948720000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,53228000,,49207000,,,
StockholdersEquity,3344329000,,3374680000,,,
MinorityInterest,71001000,,71131000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,71001000,3423220000,71131000,3443859000,3430820000,3458181000
LiabilitiesAndStockholdersEquity,6444119000,,6283458000,,,
