key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
ProfitLoss,2117000,,,2333000,,
DepreciationDepletionAndAmortization,146707000,,,137438000,,
AssetImpairmentCharges,4967000,,,0,,
GainOnInvoluntaryConversion,5717000,,,0,,
PaidInKindInterest,2036000,,,1948000,,
AmortizationOfAboveAndBelowMarketLeases,532000,,,-192000,,
StraightLineRent,7531000,,,9466000,,
GainLossOnSaleOfPropertyPlantEquipment,23086000,,,37660000,,
ShareBasedCompensation,5871000,,,6404000,,
IncreaseDecreaseInAccountsReceivable,-9232000,,,-10719000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,11732000,,,13081000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,6953000,,,-6288000,,
IncreaseDecreaseInCustomerAdvancesAndDeposits,638000,,,2996000,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,128870000,,,92818000,,
NetCashProvidedByUsedInOperatingActivities,227397000,,,196223000,,
PaymentsForCapitalImprovements,41857000,,,55382000,,
PaymentsToAcquireCommercialRealEstate,250202000,,,37425000,,
PaymentsToAcquireOtherReceivables,196000,,,0,,
PaymentsForProceedsFromOtherInvestingActivities,0,,,-511000,,
ProceedsFromSaleOfBuildings,75706000,,,69320000,,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,400000,,,-1120000,,
PaymentsToAcquireIntangibleAssets,30662000,,,3750000,,
NetCashProvidedByUsedInInvestingActivities,-247611000,,,-25606000,,
ProceedsFromUnsecuredLinesOfCredit,630000000,,,337000000,,
RepaymentsOfLinesOfCredit,905000000,,,296000000,,
RepaymentsOfNotesPayable,0,,,100000000,,
RepaymentsOfSecuredDebt,107000,,,172000,,
PaymentsOfFinancingCosts,3197000,,,0,,
ProceedsFromIssuanceOfCommonStock,,,,8532000,,
PaymentsOfDividends,137572000,,,131420000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1014000,,,812000,,
NetCashProvidedByUsedInFinancingActivities,32866000,,,-182872000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,12652000,,,-12255000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,34520000,,21868000,14534000,,26789000
InterestPaidCapitalized,1259000,,,1000000,,
InterestPaidNet,49130000,,,44842000,,
AcquisitionsOfLandAndBuildingsAndImprovements,2456000,,,0,,
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,357000,,,0,,
AdditionsToBuildingAndOtherCapitalImprovementsFromInvoluntaryConversion,-8685000,,,0,,
InvestingOtherReceivablesDuetoInvoluntaryConversion,-2968000,,,0,,
CapitalExpendituresIncurredButNotYetPaid,6499000,,,3018000,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,80000,,,26000,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,849000,,,37000,,
DividendsPayableCurrentAndNoncurrent,22936000,,22726000,22515000,,
ProceedsFromUnsecuredNotesPayable,450000000,,,0,,
PaymentsOfStockIssuanceCosts,244000,,,,,
