key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
OperatingLeaseLeaseIncome,373869000,,,344707000,,
OtherOperatingIncome,3451000,,,540000,,
Revenues,377320000,,,345247000,,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,76549000,,,68556000,,
GeneralAndAdministrativeExpense,24780000,,,24736000,,
DepreciationAndAmortization,146707000,,,137438000,,
AssetImpairmentCharges,4967000,,,0,,
OtherExpenses,1158000,,,3336000,,
CostsAndExpenses,254161000,,,234066000,,
InterestAndOtherIncome,25000,,,36000,,
InterestExpense,52793000,,,45472000,,
GainsLossesOnExtinguishmentOfDebt,-667000,,,0,,
OtherNonrecurringGain,5700000,,,0,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,23086000,,,37660000,,
NonoperatingIncomeExpense,-24632000,,,-7776000,,
ProfitLoss,2117000,,,2333000,,
NetIncomeLossAttributableToNoncontrollingInterest,2117000,,,2333000,,
NetIncomeLoss,96410000,,,101072000,,
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,93000,,,106000,,
NetIncomeLossAvailableToCommonStockholdersBasic,96317000,,,100966000,,
WeightedAverageNumberOfSharesOutstandingBasic,181834000,,,179305000,,
WeightedAverageNumberOfDilutedSharesOutstanding,182088000,,,179518000,,
IncomeLossFromContinuingOperationsPerBasicShare,0.53,,,0.56,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.53,,,0.56,,
