key,2024-09-30,2024-08-08,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
Land,739975000,,,698633000,,,
InvestmentBuildingAndBuildingImprovements,5054195000,,,4838522000,,,
IntangibleAssetsNetExcludingGoodwill,413509000,,,435722000,,,
RealEstateInvestmentPropertyNet,74437000,,,5972877000,,,
CashAndCashEquivalentsAtCarryingValue,70036000,,,20741000,,,
RestrictedCashAndCashEquivalents,1108000,,,1127000,,,
AccountsReceivableNet,128366000,,,128274000,,,
PrepaidExpenseAndOtherAssets,101922000,,,80455000,,,
DerivativeAssets,29016000,,,50418000,,,
OperatingLeaseRightOfUseAsset,28105000,,,29566000,,,
Assets,6566232000,,,6283458000,,,
LineOfCredit,256000000,,,402000000,,,
LoansPayable,1021513000,,,1021773000,,,
NotesPayable,1643821000,,,1195872000,,,
SecuredDebt,4247000,,,4401000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,139879000,,,83152000,,,
DerivativeLiabilities,3027000,,,0,,,
CustomerAdvancesAndDeposits,47056000,,,44238000,,,
DividendsPayableCurrentAndNoncurrent,22937000,,,22726000,22726000,,
BelowMarketLeaseNet,31195000,,,29908000,,,
OperatingLeaseLiability,32217000,,,33577000,,,
Liabilities,3201892000,,,2837647000,,,
CommitmentsAndContingencies,,,,,,,
PreferredStockValue,0,,,0,,,
CommonStockValue,1822000,,,1817000,,,
AdditionalPaidInCapital,4281290000,,,4272376000,,,
RetainedEarningsAccumulatedDeficit,-1012760000,,,-948720000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,25320000,,,49207000,,,
StockholdersEquity,3295672000,,,3374680000,,,
MinorityInterestInOperatingPartnerships,68233000,,,71131000,,,
MinorityInterestInJointVentures,435000,400000,,0,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,435000,,3415330000,0,3495363000,3443859000,3458181000
LiabilitiesAndStockholdersEquity,6566232000,,,6283458000,,,
