key,2024-09-30,2024-08-08,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
ProfitLoss,2992000,,,,3461000,,
DepreciationDepletionAndAmortization,219213000,,,,207199000,,
AssetImpairmentCharges,4967000,,,,0,,
GainOnInvoluntaryConversion,9285000,,,,0,,
PaidInKindInterest,3201000,,,,2924000,,
AmortizationOfAboveAndBelowMarketLeases,2000,,,,-490000,,
StraightLineRent,11384000,,,,13414000,,
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,-36000,,,,0,,
GainLossOnSaleOfPropertyPlantEquipment,23281000,,,,49343000,,
ShareBasedCompensation,8824000,,,,9006000,,
IncreaseDecreaseInAccountsReceivable,-9273000,,,,-6212000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,28596000,,,,24298000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,38317000,,,,6324000,,
IncreaseDecreaseInCustomerAdvancesAndDeposits,2818000,,,,813000,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,214105000,,,,144933000,,
NetCashProvidedByUsedInOperatingActivities,355363000,,,,299506000,,
PaymentsForCapitalImprovements,83082000,,,,77886000,,
PaymentsToAcquireCommercialRealEstate,358146000,,,,238226000,,
PaymentsToAcquireOtherReceivables,196000,,,,0,,
PaymentsForProceedsFromOtherInvestingActivities,0,,,,-511000,,
ProceedsFromSaleOfBuildings,97718000,,,,97234000,,
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,245000,,,,-2000000,,
PaymentsToAcquireIntangibleAssets,46570000,,,,16786000,,
NetCashProvidedByUsedInInvestingActivities,-390521000,,,,-233153000,,
ProceedsFromUnsecuredLinesOfCredit,1043000000,,,,965000000,,
RepaymentsOfLinesOfCredit,1189000000,,,,815000000,,
ProceedsFromUnsecuredNotesPayable,450000000,,,,0,,
RepaymentsOfNotesPayable,0,,,,100000000,,
RepaymentsOfSecuredDebt,161000,,,,259000,,
PaymentsOfFinancingCosts,12379000,,,,270000,,
ProceedsFromIssuanceOfCommonStock,,,,,69616000,,
PaymentsOfStockIssuanceCosts,342000,,,,,,
PaymentsOfDividends,206105000,,,,199387000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1014000,,,,812000,,
ProceedsFromPaymentsToMinorityShareholders,435000,,,,0,,
NetCashProvidedByUsedInFinancingActivities,84434000,,,,-81112000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,49276000,,,,-14759000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,71144000,,,21868000,12030000,,26789000
InterestPaidCapitalized,1770000,,,,1686000,,
InterestPaidNet,66339000,,,,62896000,,
AcquisitionsOfLandAndBuildingsAndImprovements,2456000,,,,66000,,
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,357000,,,,6000,,
AdditionsToBuildingAndOtherCapitalImprovementsFromInvoluntaryConversion,12253000,,,,0,,
InvestingOtherReceivablesDuetoInvoluntaryConversion,2968000,,,,0,,
CapitalExpendituresIncurredButNotYetPaid,17110000,,,,1089000,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,137000,,,,42000,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,559000,,,,89000,,
DividendsPayableCurrentAndNoncurrent,22937000,,,22726000,22726000,,
