key,2024-09-30,2024-08-08,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
OperatingLeaseLeaseIncome,564155000,,,,522565000,,
OtherOperatingIncome,3904000,,,,1963000,,
Revenues,568059000,,,,524528000,,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,114564000,,,,102985000,,
GeneralAndAdministrativeExpense,36758000,,,,35833000,,
DepreciationAndAmortization,219213000,,,,207199000,,
AssetImpairmentCharges,4967000,,,,0,,
OtherExpenses,1703000,,,,4109000,,
CostsAndExpenses,377205000,,,,350126000,,
InterestAndOtherIncome,39000,,,,53000,,
InterestExpense,81498000,,,,69225000,,
GainsLossesOnExtinguishmentOfDebt,36000,,,,0,,
OtherNonrecurringGain,9300000,,,,0,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,23281000,,,,49343000,,
NonoperatingIncomeExpense,-49596000,,,,-19829000,,
ProfitLoss,2992000,,,,3461000,,
NetIncomeLossAttributableToNoncontrollingInterest,2992000,,,,3461000,,
NetIncomeLoss,138266000,,,,151112000,,
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,138000,,,,159000,,
NetIncomeLossAvailableToCommonStockholdersBasic,138128000,,,,150953000,,
WeightedAverageNumberOfSharesOutstandingBasic,181899000,,,,179810000,,
WeightedAverageNumberOfDilutedSharesOutstanding,182173000,,,,180070000,,
IncomeLossFromContinuingOperationsPerBasicShare,0.76,,,,0.84,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.76,,,,0.84,,
