key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
OperatingLeaseLeaseIncome,205362000,,187402000,
OtherOperatingIncome,212000,,141000,
Revenues,205574000,,187543000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,43678000,,39071000,
GeneralAndAdministrativeExpense,13306000,,12952000,
DepreciationAndAmortization,73900000,,71427000,
OtherExpenses,572000,,563000,
CostsAndExpenses,131456000,,124013000,
InterestAndOtherIncome,5000,,11000,
InterestExpense,32529000,,25421000,
GainsLossesOnExtinguishmentOfDebt,0,,-667000,
OtherNonrecurringGain,1900000,,0,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,49913000,,0,
NonoperatingIncomeExpense,19244000,,-26077000,
ProfitLoss,1964000,,826000,
NetIncomeLossAttributableToNoncontrollingInterest,1964000,,826000,
NetIncomeLoss,91398000,,36627000,
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,58000,,47000,
NetIncomeLossAvailableToCommonStockholdersBasic,91340000,,36580000,
WeightedAverageNumberOfSharesOutstandingBasic,186468000,,181708000,
WeightedAverageNumberOfDilutedSharesOutstanding,186758000,,181991000,
IncomeLossFromContinuingOperationsPerBasicShare,0.49,,0.20,
IncomeLossFromContinuingOperationsPerDilutedShare,0.49,,0.20,
