key,2024,2023,2022,2021,2020
PreferredStockParOrStatedValuePerShare,,,,,0.001
PreferredStockSharesOutstanding,,,,,0
CommonStockSharesAuthorized,,,,,500000000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,12051000
PreferredStockSharesAuthorized,,,,,50000000
CashAndCashEquivalentsAtCarryingValue,,,,,319581000
AccountsReceivableNetCurrent,1008315000,928315000,799041000,609406000,586481000
InventoryNet,674535000,695493000,574999000,315067000,248259000
OtherPrepaidExpenseCurrent,174349000,179277000,156637000,66750000,54430000
AssetsCurrent,2869123000,2011442000,1878997000,1211754000,1208751000
PropertyPlantAndEquipmentNet,1765180000,1705512000,1552576000,1235400000,1111855000
OperatingLeaseRightOfUseAsset,173201000,191741000,188480000,150142000,131837000
IntangibleAssetsNetExcludingGoodwill,2119282000,2955780000,3328537000,898406000,565473000
Goodwill,4070712000,3879219000,4404343000,3026049000,2356085000
OtherAssetsNoncurrent,66199000,78145000,70661000,52720000,51581000
Assets,11063697000,10821839000,11423594000,6574471000,5425582000
AccountsPayableCurrent,251723000,279620000,225737000,156950000,149341000
AccruedIncomeTaxesCurrent,13640000,43804000,26873000,27561000,14013000
EmployeeRelatedLiabilitiesCurrent,164831000,125642000,183721000,150078000,128261000
CapitalLeaseObligationsCurrent,,,,,19809000
AccruedLiabilitiesCurrent,319744000,317817000,306544000,220557000,192183000
LiabilitiesCurrent,931127000,861844000,922222000,577920000,503607000
LongTermDebtNoncurrent,3120162000,3018655000,2945481000,1650540000,1150521000
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,479688000,617538000,780619000,236860000,160270000
CapitalLeaseObligationsNoncurrent,,,,,114114000
OtherLiabilitiesNoncurrent,71546000,76137000,75579000,88010000,90346000
Liabilities,4748351000,4734667000,4878957000,2683003000,2018858000
CommitmentsAndContingencies,110402000,108370000,98675000,79122000,80230000
CommonStockValue,4543176000,4486375000,4742920000,2002825000,1982164000
RetainedEarningsAccumulatedDeficit,2087645000,1911533000,1999244000,1939408000,1647175000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-328657000,-320710000,-209808000,-61243000,-235463000
StockholdersEquity,6302164000,6077198000,6532356000,3880990000,3393876000
MinorityInterest,13182000,9974000,12281000,10478000,12848000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6315346000,6087172000,6544637000,3891468000,3406724000
LiabilitiesAndStockholdersEquity,11063697000,10821839000,11423594000,6574471000,5425582000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,207020000,208357000,348320000,220531000,319581000
OperatingLeaseLiabilityCurrent,31239000,34961000,36472000,22774000,
ShortTermBorrowings,85938000,60000000,142875000,0,
OperatingLeaseLiabilityNoncurrent,145828000,160493000,155056000,129673000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,804904000,157580000,,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,0,977259000,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,64012000,50642000,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,0,20936000,,,
