key,2024,2023,2022,2021,2020
ProfitLoss,380079000,105813000,242870000,396870000,407805000
DepreciationDepletionAndAmortization,565244000,552897000,553104000,219237000,197235000
DeferredIncomeTaxExpenseBenefit,-131412000,-185913000,-106620000,4240000,9423000
ShareBasedCompensation,56535000,38951000,57660000,25966000,23811000
GainLossOnSaleOfPropertyPlantEquipment,-24997000,-22193000,-15117000,1982000,174000
GainLossOnSaleOfBusiness,-873000,67000,874000,-2030000,-1770000
OtherNoncashIncomeExpense,-12316000,24832000,21639000,-24273000,-426000
IncreaseDecreaseInAccountsReceivable,128069000,133304000,51969000,-12076000,17866000
IncreaseDecreaseInInventories,37450000,123921000,102922000,-3769000,39067000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1552000,24086000,-7126000,-458000,-3784000
IncreaseDecreaseInAccountsPayable,-18962000,53342000,14887000,-7213000,-2779000
IncreaseDecreaseInAccruedLiabilities,39955000,-22054000,-16398000,9916000,6191000
NetCashProvidedByUsedInOperatingActivities,973274000,756947000,684811000,689640000,590559000
PaymentsToAcquirePropertyPlantAndEquipment,360326000,361969000,287563000,239262000,214516000
ProceedsFromSaleOfPropertyPlantAndEquipment,7381000,14587000,1741000,569000,4156000
ProceedsFromDivestitureOfBusinesses,9458000,6624000,169712000,518000,439000
PaymentsToAcquireInvestments,1500000,0,0,4400000,0
PaymentsToAcquireBusinessesNetOfCashAcquired,546256000,42572000,550449000,909192000,109814000
PaymentsForProceedsFromOtherInvestingActivities,,0,0,2392000,0
NetCashProvidedByUsedInInvestingActivities,-887361000,-383330000,-666559000,-1154159000,-319735000
RepaymentsOfLongTermDebt,,,,,0
ProceedsFromRepaymentsOfLinesOfCredit,181486000,241657000,-190174000,-30461000,-26500000
PaymentsOfFinancingCosts,0,0,17472000,12846000,1281000
PaymentsOfMergerRelatedCostsFinancingActivities,6242000,1471000,32679000,2395000,626000
PaymentsForRepurchaseOfCommonStock,11765000,308565000,55777000,14646000,51241000
PaymentsOfDividendsCommonStock,200570000,183498000,163169000,133837000,123034000
ProceedsFromMinorityShareholders,2994000,0,3672000,2258000,6050000
PaymentsToMinorityShareholders,1561000,794000,997000,4179000,1245000
ProceedsFromPaymentsForOtherFinancingActivities,10472000,1828000,10071000,26726000,34731000
NetCashProvidedByUsedInFinancingActivities,-85186000,-498718000,115830000,345620000,-163146000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,-8730000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-1337000,-139963000,127789000,-99050000,98948000
CashAndCashEquivalentsAtCarryingValue,,,,,319581000
FairValueAdjustmentRelatedToConvertibleDebtLiability,0,0,27806000,0,0
AmortizationOfInventoryFairValueAdjustments,4822000,7363000,66663000,0,0
ProceedsFromIssuanceOfSeniorLongTermDebt,0,0,1350000000,0,0
ProceedsFromIssuanceOfDebt,0,0,650000000,550000000,0
RepaymentsOfTermLoans,60000000,156875000,345000000,0,0
RepaymentsOfDebtAndCapitalLeaseObligations,,91000000,721284000,35000000,0
RepaymentsOfConvertibleDebt,0,0,371361000,0,0
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-2064000,-14862000,-6293000,19849000,-8730000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,207020000,208357000,348320000,220531000,319581000
GoodwillImpairmentLoss,0,490565000,0,0,
LossOnClassificationAsHeldForSale,206444000,0,0,,
GainLossOnSaleOfInvestments,546000,0,0,,
ProceedsFromSaleOfOtherInvestments,3882000,0,0,,
PaymentsForRepurchaseOfPrivatePlacement,0,91000000,721284000,,
