key,2024,2023,2022,2021,2020
Revenues,2763954000,2785327000,2556281000,1443540000,1402788000
CostOfGoodsAndServicesSold,1516082000,1513970000,1419925000,765076000,750202000
CostOfRevenue,,,,,1710972000
GrossProfit,2218160000,2159692000,2016362000,1343100000,1319923000
SellingGeneralAndAdministrativeExpense,1252318000,1298876000,1502752000,731320000,716731000
ResearchAndDevelopmentExpense,103679000,101581000,87944000,66326000,65546000
RestructuringCosts,26045000,485000,48000,-2914000,673000
OperatingExpenses,1382042000,1891507000,1590744000,794732000,782950000
OperatingIncomeLoss,836118000,268185000,425618000,548368000,536973000
InterestExpense,144351000,107989000,89593000,37180000,40279000
OtherNonoperatingIncomeExpense,11043000,-2848000,6284000,6345000,1987000
NonoperatingIncomeExpense,-133308000,-110837000,-111115000,-30835000,-38292000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,498681000
IncomeTaxExpenseBenefit,149530000,51535000,71633000,120663000,90876000
ProfitLoss,380079000,105813000,242870000,396870000,407805000
NetIncomeLossAttributableToNoncontrollingInterest,1840000,-1217000,-1018000,-530000,200000
NetIncomeLoss,378239000,107030000,243888000,397400000,407605000
EarningsPerShareBasic,3.83,1.07,2.50,4.66,4.81
EarningsPerShareDiluted,3.81,1.07,2.48,4.63,4.76
CommonStockDividendsPerShareDeclared,2.03,1.84,1.69,1.57,1.45
FairValueAdjustmentRelatedToConvertibleDebtLiability,0,0,27806000,0,0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,702810000,157348000,314503000,517533000,498754000
GoodwillImpairmentLoss,,490565000,0,0,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,553280000,556197000,284459000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-173201000,-450384000,-41589000,,
IncomeLossFromContinuingOperationsPerBasicShare,5.58,5.59,2.93,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-1.75,-4.52,-0.43,,
IncomeLossFromContinuingOperationsPerDilutedShare,5.55,5.56,2.90,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-1.74,-4.49,-0.42,,
