key,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31
CashAndCashEquivalentsAtCarryingValue,198328000,207020000,,,
AccountsReceivableNetCurrent,892606000,1008315000,,,
InventoryNet,698587000,674535000,,,
OtherPrepaidExpenseCurrent,150973000,174349000,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,804904000,,,
AssetsCurrent,1940494000,2869123000,,,
PropertyPlantAndEquipmentNet,1834216000,1765180000,,,
OperatingLeaseRightOfUseAsset,1737000,173201000,0,,
Goodwill,197067000,4070712000,202399000,,
IntangibleAssetsNetExcludingGoodwill,2048990000,2119282000,,,
OtherAssetsNoncurrent,63127000,66199000,,,
Assets,10108601000,11063697000,,,
AccountsPayableCurrent,231720000,251723000,,,
AccruedIncomeTaxesCurrent,57000000,13640000,,,
EmployeeRelatedLiabilitiesCurrent,149372000,164831000,,,
OperatingLeaseLiabilityCurrent,29705000,31239000,,,
ShortTermBorrowings,80000000,85938000,,,
AccruedLiabilitiesCurrent,286563000,319744000,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,64012000,,,
LiabilitiesCurrent,834360000,931127000,,,
LongTermDebtNoncurrent,2235601000,3120162000,,,
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,456465000,479688000,,,
OperatingAndFinanceLeaseObligationNoncurrent,139362000,145828000,,,
OtherLiabilitiesNoncurrent,72368000,71546000,,,
Liabilities,3738156000,4748351000,,,
CommitmentsAndContingencies,,,,,
CommonStockValue,4499580000,4543176000,,,
RetainedEarningsAccumulatedDeficit,2178087000,2087645000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-323070000,-328657000,,-310859000,-320710000
StockholdersEquity,-323070000,6302164000,,-310859000,
MinorityInterest,15848000,13182000,,10086000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6370445000,13182000,,6178372000,6087172000
LiabilitiesAndStockholdersEquity,10108601000,11063697000,,,
