key,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31
ProfitLoss,145541000,,,123790000,
DepreciationDepletionAndAmortization,112698000,,,137925000,
DeferredIncomeTaxExpenseBenefit,-22121000,,,-445000,
ShareBasedCompensation,11460000,,,11579000,
GainLossOnSaleOfPropertyPlantEquipment,-2151000,,,-93000,
GainLossOnSaleOfBusiness,18803000,,,0,
OtherNoncashIncomeExpense,2451000,,,-1995000,
IncreaseDecreaseInAccountsReceivable,-107683000,,,-42446000,
IncreaseDecreaseInInventories,34134000,,,67956000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-9438000,,,-14355000,
IncreaseDecreaseInAccountsPayable,-17122000,,,-20572000,
IncreaseDecreaseInAccruedLiabilities,1560000,,,37919000,
NetCashProvidedByUsedInOperatingActivities,303743000,,,281129000,
PaymentsToAcquirePropertyPlantAndEquipment,108083000,,,66601000,
ProceedsFromSaleOfPropertyPlantAndEquipment,0,,,5000,
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,809571000,,,0,
PaymentsToAcquireBusinessesNetOfCashAcquired,13659000,,,539758000,
NetCashProvidedByUsedInInvestingActivities,687829000,,,-66596000,
RepaymentsOfSecuredDebt,638125000,,,15000000,
ProceedsFromRepaymentsOfLinesOfCredit,-253200000,,,-144651000,
PaymentsOfMergerRelatedCostsFinancingActivities,87000,,,89000,
PaymentsForRepurchaseOfCommonStock,3523000,,,7727000,
PaymentsOfDividendsCommonStock,51436000,,,46427000,
ProceedsFromMinorityShareholders,2532000,,,0,
ProceedsFromPaymentsForOtherFinancingActivities,5587000,,,1254000,
NetCashProvidedByUsedInFinancingActivities,-998932000,,,-213637000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-1332000,,,-639000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-8692000,,,257000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,198328000,207020000,,208614000,208357000
