key,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31
Revenues,310418000,35000000,,307562000,
CostOfGoodsAndServicesSold,366652000,,,333903000,
CostOfRevenue,707072000,,,654382000,
GrossProfit,572430000,,,529004000,
SellingGeneralAndAdministrativeExpense,335626000,,,306530000,
ResearchAndDevelopmentExpense,25573000,,,24694000,
RestructuringCosts,25700000,,,19000,
OperatingExpenses,386899000,,,331243000,
OperatingIncomeLoss,285437000,,,265740000,
InterestExpense,30384000,,,32357000,
OtherNonoperatingIncomeExpense,1309000,,,1377000,
GainLossOnSaleOfBusinessContinuingOperations,18803000,,,0,
NonoperatingIncomeExpense,-10272000,,,-30980000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,175259000,,,166781000,
IncomeTaxExpenseBenefit,35310000,,,36200000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,139949000,,,130581000,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,5592000,,,-6791000,
ProfitLoss,145541000,,,123790000,
NetIncomeLossAttributableToNoncontrollingInterest,140000,,,236000,
NetIncomeLoss,145401000,,,123554000,
IncomeLossFromContinuingOperationsPerBasicShare,1.41,,,1.32,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.06,,,-0.07,
EarningsPerShareBasic,1.47,,,1.25,
IncomeLossFromContinuingOperationsPerDilutedShare,1.41,,,1.31,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.06,,,-0.07,
EarningsPerShareDiluted,1.46,,,1.25,
CommonStockDividendsPerShareDeclared,0.52,,,0.47,
