key,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31
CashAndCashEquivalentsAtCarryingValue,172195000,,207020000,,,
AccountsReceivableNetCurrent,923340000,,1008315000,,,
InventoryNet,688933000,,674535000,,,
OtherPrepaidExpenseCurrent,153401000,,174349000,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,,804904000,,,
AssetsCurrent,1937869000,,2869123000,,,
PropertyPlantAndEquipmentNet,1929666000,,1765180000,,,
OperatingLeaseRightOfUseAsset,1737000,,173201000,0,,
Goodwill,197067000,,4070712000,202399000,,
IntangibleAssetsNetExcludingGoodwill,2003669000,,2119282000,,,
OtherAssetsNoncurrent,60267000,,66199000,,,
Assets,10242145000,,11063697000,,,
AccountsPayableCurrent,235070000,,251723000,,,
AccruedIncomeTaxesCurrent,5850000,,13640000,,,
EmployeeRelatedLiabilitiesCurrent,146575000,,164831000,,,
OperatingLeaseLiabilityCurrent,30509000,,31239000,,,
ShortTermBorrowings,80000000,,85938000,,,
AccruedLiabilitiesCurrent,307479000,,319744000,,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,0,,64012000,,,
LiabilitiesCurrent,805483000,,931127000,,,
LongTermDebtNoncurrent,2156158000,,3120162000,,,
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,462741000,,479688000,,,
OperatingAndFinanceLeaseObligationNoncurrent,133148000,,145828000,,,
OtherLiabilitiesNoncurrent,74153000,,71546000,,,
Liabilities,3631683000,,4748351000,,,
CommitmentsAndContingencies,,,,,,
CommonStockValue,4490999000,,4543176000,,,
RetainedEarningsAccumulatedDeficit,2268326000,,2087645000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-165836000,-323070000,-328657000,-386735000,-310859000,-320710000
StockholdersEquity,-165836000,-323070000,-328657000,-386735000,-310859000,-320710000
MinorityInterest,16973000,15848000,13182000,11095000,10086000,9974000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6610462000,6370445000,6315346000,6189168000,6178372000,6087172000
LiabilitiesAndStockholdersEquity,10242145000,,11063697000,,,
