key,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31
ProfitLoss,296714000,,,240136000,,
DepreciationDepletionAndAmortization,227953000,,,290177000,,
DeferredIncomeTaxExpenseBenefit,-22085000,,,-1314000,,
ShareBasedCompensation,32272000,,,32295000,,
GainLossOnSaleOfPropertyPlantEquipment,-2699000,,,1103000,,
GainLossOnDispositionOfBusinessAndEquityInvestmentsNet,4458000,,,0,,
OtherNoncashIncomeExpense,-586000,,,-113000,,
IncreaseDecreaseInAccountsReceivable,-82506000,,,2464000,,
IncreaseDecreaseInInventories,18677000,,,100616000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-8565000,,,19630000,,
IncreaseDecreaseInAccountsPayable,-16261000,,,15076000,,
IncreaseDecreaseInAccruedLiabilities,-35346000,,,-25446000,,
NetCashProvidedByUsedInOperatingActivities,554468000,,,427224000,,
PaymentsToAcquirePropertyPlantAndEquipment,209975000,,,149893000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,0,,,7360000,,
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,809919000,,,9458000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,17467000,,,539758000,,
NetCashProvidedByUsedInInvestingActivities,582477000,,,-672833000,,
RepaymentsOfSecuredDebt,638125000,,,30000000,,
ProceedsFromRepaymentsOfLinesOfCredit,-344920000,,,391022000,,
PaymentsOfMergerRelatedCostsFinancingActivities,177000,,,177000,,
PaymentsForRepurchaseOfCommonStock,7081000,,,6714000,,
PaymentsOfDividendsCommonStock,107673000,,,97795000,,
ProceedsFromMinorityShareholders,2532000,,,0,,
ProceedsFromPaymentsForOtherFinancingActivities,19092000,,,2740000,,
NetCashProvidedByUsedInFinancingActivities,-1179896000,,,256577000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,8126000,,,-5568000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-34825000,,,5400000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,172195000,,207020000,213757000,,208357000
