key,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31
Revenues,637000000,,35000000,615716000,,
CostOfGoodsAndServicesSold,748053000,,,675502000,,
CostOfRevenue,1457193000,,,1346358000,,
GrossProfit,1151221000,,,1075232000,,
SellingGeneralAndAdministrativeExpense,664924000,,,634960000,,
ResearchAndDevelopmentExpense,52604000,,,50962000,,
RestructuringCosts,28496000,,,-4000,,
OperatingExpenses,746024000,,,685918000,,
OperatingIncomeLoss,579916000,,,543841000,,
InterestExpenseNonoperating,50052000,,,69295000,,
OtherNonoperatingIncomeExpense,2435000,,,2614000,,
GainLossOnSaleOfBusinessAndEquityInvestmentsContinuingOperations,12571000,,,0,,
NonoperatingIncomeExpense,-35046000,,,-66681000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,370151000,,,322633000,,
IncomeTaxExpenseBenefit,78816000,,,71255000,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,291335000,,,251378000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,5379000,,,-11242000,,
ProfitLoss,296714000,,,240136000,,
NetIncomeLossAttributableToNoncontrollingInterest,1279000,,,1263000,,
NetIncomeLoss,295435000,,,238873000,,
IncomeLossFromContinuingOperationsPerBasicShare,2.94,,,2.53,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.05,,,-0.11,,
EarningsPerShareBasic,2.99,,,2.42,,
IncomeLossFromContinuingOperationsPerDilutedShare,2.92,,,2.52,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.05,,,-0.11,,
EarningsPerShareDiluted,2.98,,,2.41,,
CommonStockDividendsPerShareDeclared,1.09,,,0.99,,
