key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,4009000000,8077000000,8524000000,4477000000,10325000000
AccountsReceivableNetCurrent,8191000000,8221000000,8115000000,7977000000,5741000000
InventoryNet,4978000000,5088000000,5634000000,5051000000,4029000000
ContractWithCustomerAssetNetCurrent,1435000000,1443000000,1312000000,968000000,731000000
OtherAssetsCurrent,1964000000,1760000000,1644000000,1640000000,1131000000
AssetsCurrent,22137000000,24589000000,25229000000,20113000000,21957000000
PropertyPlantAndEquipmentNet,9306000000,9448000000,9280000000,8333000000,5912000000
IntangibleAssetsNetExcludingGoodwill,15533000000,16670000000,17442000000,20113000000,12685000000
OtherAssetsNoncurrent,4492000000,3999000000,4007000000,4640000000,2457000000
Goodwill,45853000000,44020000000,41196000000,41924000000,26041000000
Assets,97321000000,98726000000,97154000000,95123000000,69052000000
DebtCurrent,2214000000,3609000000,5579000000,2537000000,2628000000
AccountsPayableCurrent,3079000000,2872000000,3381000000,2867000000,2175000000
EmployeeRelatedLiabilitiesCurrent,1988000000,1596000000,2095000000,2427000000,1916000000
ContractWithCustomerLiabilityCurrent,2852000000,2689000000,2601000000,2655000000,1271000000
OtherLiabilitiesCurrent,3199000000,3246000000,3354000000,2950000000,2314000000
LiabilitiesCurrent,13332000000,14012000000,17010000000,13436000000,10304000000
DeferredIncomeTaxLiabilitiesNet,1268000000,1922000000,2849000000,3837000000,1794000000
OtherLiabilitiesNoncurrent,3989000000,4642000000,4238000000,4540000000,3340000000
LongTermDebtNoncurrent,,,,,19107000000
CommonStockValue,444000000,442000000,441000000,439000000,437000000
AdditionalPaidInCapitalCommonStock,17962000000,17286000000,16743000000,16174000000,15579000000
RetainedEarningsAccumulatedDeficit,53102000000,47364000000,41910000000,35431000000,28116000000
TreasuryStockCommonValue,19226000000,15133000000,12017000000,8922000000,6818000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2697000000,-3224000000,-3099000000,-2329000000,-2807000000
StockholdersEquity,49584000000,46735000000,43978000000,40793000000,34507000000
LiabilitiesAndStockholdersEquity,97321000000,98726000000,97154000000,95123000000,69052000000
LongTermDebtAndCapitalLeaseObligations,29061000000,31308000000,28909000000,32333000000,
RedeemableNoncontrollingInterestEquityCarryingAmount,120000000,118000000,116000000,122000000,0
MinorityInterest,-33000000,-11000000,54000000,62000000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,49551000000,46724000000,44032000000,40855000000,437000000
ShortTermInvestments,1561000000,3000000,,,
