key,2024,2023,2022,2021,2020
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,6375000000
Depreciation,1156000000,1068000000,986000000,831000000,658000000
AmortizationOfIntangibleAssets,1952000000,2338000000,2395000000,1761000000,1667000000
IncreaseDecreaseInDeferredIncomeTaxes,1209000000,1300000000,995000000,647000000,552000000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,0
ShareBasedCompensation,301000000,278000000,307000000,230000000,196000000
GainsLossesOnExtinguishmentOfDebt,,0,-26000000,-197000000,0
OtherNoncashIncomeExpense,-508000000,-604000000,-524000000,-190000000,-340000000
IncreaseDecreaseInAccountsReceivable,171000000,43000000,430000000,204000000,1302000000
IncreaseDecreaseInInventories,27000000,-598000000,825000000,1065000000,508000000
IncreaseDecreaseInAccountsPayable,212000000,-500000000,648000000,479000000,59000000
PensionAndOtherPostretirementBenefitContributions,45000000,42000000,41000000,34000000,96000000
IncreaseDecreaseInOtherOperatingCapitalNet,186000000,802000000,401000000,724000000,-1452000000
NetCashProvidedByUsedInOperatingActivities,8667000000,8406000000,9154000000,9312000000,8289000000
PaymentsToAcquireBusinessesNetOfCashAcquired,3132000000,3660000000,39000000,19395000000,38000000
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,,,,,0
PaymentsToAcquirePropertyPlantAndEquipment,1400000000,1479000000,2243000000,2523000000,1474000000
ProceedsFromSaleOfPropertyPlantAndEquipment,57000000,87000000,24000000,20000000,8000000
PaymentsForProceedsFromOtherInvestingActivities,-8000000,160000000,-99000000,34000000,6000000
NetCashProvidedByUsedInInvestingActivities,-5841000000,-5142000000,-2159000000,-21932000000,-1510000000
ProceedsFromIssuanceOfLongTermDebt,1204000000,5942000000,3193000000,18137000000,3464000000
RepaymentsOfLongTermDebt,3607000000,5782000000,375000000,11738000000,713000000
ProceedsFromIssuanceOfCommercialPaper,0,1620000000,1526000000,2512000000,383000000
RepaymentsOfCommercialPaper,0,1935000000,3690000000,0,387000000
PaymentsForRepurchaseOfCommonStock,3000000000,3000000000,3000000000,2000000000,1500000000
PaymentsOfDividendsCommonStock,583000000,523000000,455000000,395000000,337000000
ProceedsFromStockOptionsExercised,,,,,196000000
ProceedsFromPaymentsForOtherFinancingActivities,195000000,56000000,-9000000,65000000,-147000000
NetCashProvidedByUsedInFinancingActivities,-6792000000,-3622000000,-2810000000,6581000000,959000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,176000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-4057000000,-440000000,4046000000,-5845000000,7914000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,4040000000,8097000000,8537000000,4491000000,10336000000
ProfitLoss,6338000000,5955000000,6960000000,7728000000,6377000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-91000000,-82000000,-139000000,194000000,176000000
IncreaseDecreaseInContractWithCustomerAssetsAndLiabilities,162000000,-252000000,354000000,-221000000,
ProceedsFromPaymentsForCrossCurrencyInterestRateSwapInterestSettlements,252000000,70000000,15000000,8000000,
PaymentsToAcquireInvestments,3396000000,208000000,52000000,,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,1770000000,15000000,116000000,,
