key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,25034000000,25243000000,28548000000,30361000000,25306000000
CostOfGoodsAndServicesSold,12523000000,13168000000,14247000000,13594000000,11407000000
SellingGeneralAndAdministrativeExpense,8595000000,8445000000,8993000000,8007000000,6930000000
ResearchAndDevelopmentExpense,1390000000,1337000000,1471000000,1406000000,1181000000
RestructuringAndOtherCostsIncomeNet,379000000,459000000,114000000,197000000,99000000
CostsAndExpenses,35542000000,35998000000,36522000000,29183000000,24424000000
OperatingIncomeLoss,7337000000,6859000000,8393000000,10028000000,7794000000
InvestmentIncomeInterest,1078000000,879000000,272000000,43000000,65000000
InterestExpense,,1375000000,726000000,536000000,553000000
OtherNonoperatingIncomeExpense,12000000,-65000000,-104000000,-694000000,-81000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,7225000000
IncomeTaxExpenseBenefit,657000000,284000000,703000000,1109000000,850000000
NetIncomeLossAvailableToCommonStockholdersBasic,6335000000,5995000000,6950000000,7725000000,6375000000
EarningsPerShareBasic,16.58,15.52,17.75,19.62,16.09
EarningsPerShareDiluted,16.53,15.45,17.63,19.46,15.96
WeightedAverageNumberOfSharesOutstandingBasic,382000000,386000000,392000000,394000000,396000000
WeightedAverageNumberOfDilutedSharesOutstanding,383000000,388000000,394000000,397000000,399000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,7037000000,6298000000,7835000000,8841000000,7230000000
IncomeLossFromEquityMethodInvestments,-42000000,-59000000,-172000000,-4000000,-3000000
ProfitLoss,6338000000,5955000000,6960000000,7728000000,6377000000
NetIncomeLossAttributableToNoncontrollingInterest,3000000,-40000000,10000000,3000000,2000000
InterestExpenseNonoperating,1390000000,1375000000,726000000,,
