key,2024-03-30,2023-12-31,2023-04-01,2022-12-31
CashAndCashEquivalentsAtCarryingValue,5499000000,8077000000,,
ShortTermInvestments,1751000000,3000000,,
AccountsReceivableNetCurrent,7931000000,8221000000,,
InventoryNet,5133000000,5088000000,,
ContractWithCustomerAssetNetCurrent,1422000000,1443000000,,
OtherAssetsCurrent,1904000000,1757000000,,
AssetsCurrent,23640000000,24589000000,,
PropertyPlantAndEquipmentNet,9324000000,9448000000,,
IntangibleAssetsNetExcludingGoodwill,16048000000,16670000000,,
OtherAssetsNoncurrent,4241000000,3999000000,,
Goodwill,43843000000,44020000000,,
Assets,97095000000,98726000000,,
DebtCurrent,4451000000,3609000000,,
AccountsPayableCurrent,2555000000,2872000000,,
EmployeeRelatedLiabilitiesCurrent,1314000000,1596000000,,
ContractWithCustomerLiabilityCurrent,2632000000,2689000000,,
OtherLiabilitiesCurrent,2985000000,3246000000,,
LiabilitiesCurrent,13937000000,14012000000,,
DeferredIncomeTaxLiabilitiesNet,1811000000,1922000000,,
OtherLiabilitiesNoncurrent,4567000000,4642000000,,
LongTermDebtAndCapitalLeaseObligations,31157000000,31308000000,,
RedeemableNoncontrollingInterestEquityCarryingAmount,119000000,118000000,123000000,116000000
PreferredStockValue,0,0,,
CommonStockValue,443000000,442000000,,
AdditionalPaidInCapitalCommonStock,17482000000,17286000000,,
RetainedEarningsAccumulatedDeficit,48542000000,47364000000,,
TreasuryStockCommonValue,18186000000,15133000000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2764000000,-3224000000,,
StockholdersEquity,45516000000,46735000000,,
MinorityInterest,-12000000,-11000000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-254000000,-255000000,42310000000,44032000000
LiabilitiesAndStockholdersEquity,97095000000,98726000000,,
