key,2024-03-30,2023-12-31,2023-04-01,2022-12-31
ProfitLoss,1331000000,,1292000000,
Depreciation,285000000,,253000000,
AmortizationOfIntangibleAssets,551000000,,606000000,
IncreaseDecreaseInDeferredIncomeTaxes,253000000,,146000000,
ShareBasedCompensation,70000000,,76000000,
OtherNoncashIncomeExpense,-53000000,,-181000000,
IncreaseDecreaseInOperatingCapitalExcludingDeferredTaxes,787000000,,1533000000,
NetCashProvidedByUsedInOperatingActivities,1251000000,,729000000,
PaymentsToAcquirePropertyPlantAndEquipment,347000000,,458000000,
ProceedsFromSaleOfPropertyPlantAndEquipment,4000000,,6000000,
ProceedsFromPaymentsForCrossCurrencyInterestRateSwapInterestSettlements,64000000,,2000000,
PaymentsToAcquireBusinessesNetOfCashAcquired,0,,2704000000,
PaymentsToAcquireInvestments,1758000000,,2000000,
PaymentsForProceedsFromOtherInvestingActivities,-7000000,,-14000000,
NetCashProvidedByUsedInInvestingActivities,-2030000000,,-3142000000,
ProceedsFromIssuanceOfLongTermDebt,1205000000,,0,
ProceedsFromIssuanceOfCommercialPaper,0,,1027000000,
RepaymentsOfCommercialPaper,0,,523000000,
PaymentsForRepurchaseOfCommonStock,3000000000,,3000000000,
PaymentsOfDividendsCommonStock,135000000,,117000000,
ProceedsFromPaymentsForOtherFinancingActivities,110000000,,20000000,
NetCashProvidedByUsedInFinancingActivities,-1821000000,,-2593000000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,22000000,,-31000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-2578000000,,-5037000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,5519000000,8097000000,3500000000,8537000000
