key,2024-07-10,2024-06-29,2024-03-30,2023-12-31,2023-08-14,2023-07-01,2023-04-01,2023-01-03,2022-12-31
ProfitLoss,,2885000000,,,,2654000000,,,
Depreciation,,562000000,,,,523000000,,,
AmortizationOfIntangibleAssets,,1065000000,,,,1191000000,,,
IncreaseDecreaseInDeferredIncomeTaxes,,607000000,,,,328000000,,,
ShareBasedCompensation,,154000000,,,,150000000,,,
OtherNoncashIncomeExpense,,-157000000,,,,-330000000,,,
IncreaseDecreaseInOperatingCapitalExcludingDeferredTaxes,,1003000000,,,,2251000000,,,
NetCashProvidedByUsedInOperatingActivities,,3211000000,,,,2269000000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,648000000,,,,742000000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,20000000,,,,10000000,,,
ProceedsFromPaymentsForCrossCurrencyInterestRateSwapInterestSettlements,,111000000,,,,35000000,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,0,,,,2751000000,,,
PaymentsToAcquireInvestments,,1778000000,,,,188000000,,,
PaymentsForProceedsFromOtherInvestingActivities,,-12000000,,,,-51000000,,,
NetCashProvidedByUsedInInvestingActivities,,-2283000000,,,,-3585000000,,,
ProceedsFromIssuanceOfLongTermDebt,,1204000000,,,,0,,,
RepaymentsOfLongTermDebt,,0,,,,1000000000,,,
ProceedsFromIssuanceOfCommercialPaper,,0,,,,1620000000,,,
RepaymentsOfCommercialPaper,,0,,,,1441000000,,,
PaymentsForRepurchaseOfCommonStock,,3000000000,,,,3000000000,,,
PaymentsOfDividendsCommonStock,,284000000,,,,252000000,,,
ProceedsFromPaymentsForOtherFinancingActivities,,145000000,,,,24000000,,,
NetCashProvidedByUsedInFinancingActivities,,-1936000000,,,,-4049000000,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,,7000000,,,,-19000000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,-1000000000,,,,-5384000000,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,7097000000,,8097000000,,3153000000,,,8537000000
