key,2024-07-10,2024-06-29,2024-03-30,2023-12-31,2023-08-14,2023-07-01,2023-04-01,2023-01-03,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,,10217000000,,,,10279000000,,,
CostOfGoodsAndServicesSold,,6315000000,,,,6391000000,,,
SellingGeneralAndAdministrativeExpense,,4293000000,,,,4264000000,,,
ResearchAndDevelopmentExpense,,670000000,,,,691000000,,,
RestructuringAndOtherCostsIncomeNet,,4000000,,,,295000000,,,
CostsAndExpenses,,17404000000,,,,18256000000,,,
OperatingIncomeLoss,,4625000000,,,,4700000000,,,
InvestmentIncomeInterest,,574000000,,,,324000000,,,
InterestExpenseNonoperating,,717000000,,,,626000000,,,
OtherNonoperatingIncomeExpense,,14000000,,,,-46000000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,3354000000,,,,2793000000,,,
IncomeTaxExpenseBenefit,,408000000,,,,98000000,,,
IncomeLossFromEquityMethodInvestments,,-61000000,,,,-41000000,,,
ProfitLoss,,2885000000,,,,2654000000,,,
NetIncomeLossAttributableToNoncontrollingInterest,,9000000,,,,4000000,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,2875000000,,,,2650000000,,,
EarningsPerShareBasic,,7.53,,,,6.86,,,
EarningsPerShareDiluted,,7.50,,,,6.83,,,
WeightedAverageNumberOfSharesOutstandingBasic,,382000000,,,,386000000,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,383000000,,,,388000000,,,
