key,2024-09-28,2024-07-10,2024-06-29,2023-12-31,2023-09-30,2023-08-14,2023-07-01,2023-01-03,2022-12-31
CashAndCashEquivalentsAtCarryingValue,4645000000,,,8077000000,,,,,
ShortTermInvestments,2000000000,,,3000000,,,,,
AccountsReceivableNetCurrent,8255000000,,,8221000000,,,,,
InventoryNet,5430000000,,,5088000000,,,,,
ContractWithCustomerAssetNetCurrent,1541000000,,,1443000000,,,,,
OtherAssetsCurrent,1911000000,,,1757000000,,,,,
AssetsCurrent,23783000000,,,24589000000,,,,,
PropertyPlantAndEquipmentNet,9412000000,,,9448000000,,,,,
IntangibleAssetsNetExcludingGoodwill,16262000000,,,16670000000,,,,,
OtherAssetsNoncurrent,4180000000,,,3999000000,,,,,
Goodwill,46726000000,2263000000,,44020000000,,627000000,,1741000000,
Assets,100364000000,,,98726000000,,,,,
DebtCurrent,4116000000,,,3609000000,,,,,
AccountsPayableCurrent,2606000000,,,2872000000,,,,,
EmployeeRelatedLiabilitiesCurrent,1823000000,,,1596000000,,,,,
ContractWithCustomerLiabilityCurrent,2663000000,,,2689000000,,,,,
OtherLiabilitiesCurrent,3393000000,,,3246000000,,,,,
LiabilitiesCurrent,14601000000,,,14012000000,,,,,
DeferredIncomeTaxLiabilitiesNet,1123000000,,,1922000000,,,,,
OtherLiabilitiesNoncurrent,4343000000,,,4642000000,,,,,
LongTermDebtAndCapitalLeaseObligations,31197000000,,,31308000000,,,,,
RedeemableNoncontrollingInterestEquityCarryingAmount,127000000,,115000000,118000000,118000000,,113000000,,116000000
PreferredStockValue,0,,,0,,,,,
CommonStockValue,444000000,,,442000000,,,,,
AdditionalPaidInCapitalCommonStock,17831000000,,,17286000000,,,,,
RetainedEarningsAccumulatedDeficit,51421000000,,,47364000000,,,,,
TreasuryStockCommonValue,18227000000,,,15133000000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2477000000,,,-3224000000,,,,,
StockholdersEquity,48992000000,,,46735000000,,,,,
MinorityInterest,-20000000,,,-11000000,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-258000000,,-253000000,-255000000,45346000000,,43802000000,,44032000000
LiabilitiesAndStockholdersEquity,100364000000,,,98726000000,,,,,
